index,text,score,difficulty_score,difficulty_strategy,difficulty
0,"smart and alert , thirteen conversations about one thing is a small gem .",0,0.14153866469860077,roberta-mlm-loss,hard
1,"color , musical bounce and warm seas lapping on island shores . and just enough science to send you home thinking .",0,0.14916850626468658,roberta-mlm-loss,hard
2,it is not a mass-market entertainment but an uncompromising attempt by one artist to think about another .,0,0.030315019190311432,roberta-mlm-loss,medium
3,a light-hearted french film about the spiritual quest of a fashion model seeking peace of mind while in a love affair with a veterinarian who is a non-practicing jew .,0,0.33499106764793396,roberta-mlm-loss,hard
4,"my wife is an actress has its moments in looking at the comic effects of jealousy . in the end , though , it is only mildly amusing when it could have been so much more .",0,0.007172496058046818,roberta-mlm-loss,medium
5,works both as an engaging drama and an incisive look at the difficulties facing native americans .,0,0.0014375883620232344,roberta-mlm-loss,easy
6,"even a hardened voyeur would require the patience of job to get through this interminable , shapeless documentary about the swinging subculture .",0,0.47117701172828674,roberta-mlm-loss,hard
7,"when perry fists a bull at the moore farm , it's only a matter of time before he gets the upper hand in matters of the heart .",0,0.09739230573177338,roberta-mlm-loss,hard
8,"the characters . . . are paper-thin , and their personalities undergo radical changes when it suits the script .",0,0.0005523173022083938,roberta-mlm-loss,easy
9,"the script is a tired one , with few moments of joy rising above the stale material .",0,0.005922731477767229,roberta-mlm-loss,medium
10,"the bland outweighs the nifty , and cletis tout never becomes the clever crime comedy it thinks it is .",0,0.07033471763134003,roberta-mlm-loss,medium
11,directed by david twohy with the same great eye for eerie understatement that he brought to pitch black .,0,0.3845321536064148,roberta-mlm-loss,hard
12,it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .,0,0.003181096399202943,roberta-mlm-loss,easy
13,"provides the kind of 'laugh therapy' i need from movie comedies -- offbeat humor , amusing characters , and a happy ending . after seeing 'analyze that , ' i feel better already .",0,0.003737933002412319,roberta-mlm-loss,easy
14,"worth a look by those on both sides of the issues , if only for the perspective it offers , one the public rarely sees .",0,0.00516729149967432,roberta-mlm-loss,easy
15,watching the film is like reading a times portrait of grief that keeps shifting focus to the journalist who wrote it .,0,0.6708661317825317,roberta-mlm-loss,hard
16,"despite these annoyances , the capable clayburgh and tambor really do a great job of anchoring the characters in the emotional realities of middle age .",0,0.16799351572990417,roberta-mlm-loss,hard
17,"it's a good thing that woolly mammoths are extinct , because this movie will have every kid in the schoolyard wishing for their very own .",0,0.0008956806268543005,roberta-mlm-loss,easy
18,"preposterous and tedious , sonny is spiked with unintentional laughter that , unfortunately , occurs too infrequently to make the film even a guilty pleasure .",0,0.010870604775846004,roberta-mlm-loss,medium
19,"4ever has the same sledgehammer appeal as pokemon videos , but it breathes more on the big screen and induces headaches more slowly .",0,0.11818039417266846,roberta-mlm-loss,hard
20,"si el siglo xxi necesita de hroes , el hombre araa parece haber llegado para quedarse .",0,0.4566664397716522,roberta-mlm-loss,hard
21,it's hard to tell with all the crashing and banging where the salesmanship ends and the movie begins .,0,0.008807326667010784,roberta-mlm-loss,medium
22,"it desperately wants to be a wacky , screwball comedy , but the most screwy thing here is how so many talented people were convinced to waste their time .",0,0.003154236823320389,roberta-mlm-loss,easy
23,"writer/director walter hill is in his hypermasculine element here , once again able to inject some real vitality and even art into a pulpy concept that , in many other hands would be completely forgettable .",0,0.18916381895542145,roberta-mlm-loss,hard
24,"hill looks to be going through the motions , beginning with the pale script .",0,0.7483453154563904,roberta-mlm-loss,hard
25,"extremely well cast , especially in the large number of supporting roles .",0,0.001479101600125432,roberta-mlm-loss,easy
26,a chilling tale of one of the great crimes of 20th century france : the murder of two rich women by their servants in 1933 .,0,0.0014683023327961564,roberta-mlm-loss,easy
27,"a dark , quirky road movie that constantly defies expectation .",0,0.008501232601702213,roberta-mlm-loss,medium
28,"impostor doesn't do much with its template , despite a remarkably strong cast .",0,0.004266936797648668,roberta-mlm-loss,easy
29,"though it lacks the utter authority of a genre gem , there's a certain robustness to this engaging mix of love and bloodletting .",0,0.0035629519261419773,roberta-mlm-loss,easy
30,"if you can keep your eyes open amid all the blood and gore , you'll see del toro has brought unexpected gravity to blade ii .",0,0.4697464406490326,roberta-mlm-loss,hard
31,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .",0,0.07648079097270966,roberta-mlm-loss,medium
32,a work that lacks both a purpose and a strong pulse .,0,0.0030461084097623825,roberta-mlm-loss,easy
33,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,0,0.04692864418029785,roberta-mlm-loss,medium
34,a mimetic approximation of better films like contempt and 8 1/2 .,0,1.155276894569397,roberta-mlm-loss,hard
35,"eastwood is an icon of moviemaking , one of the best actors , directors and producers around , responsible for some excellent work . but even a hero can stumble sometimes .",0,0.11931200325489044,roberta-mlm-loss,hard
36,"nair doesn't use [monsoon wedding] to lament the loss of culture . instead , she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions .",0,0.03807663172483444,roberta-mlm-loss,medium
37,"stuffed to the brim with ideas , american instigator michael moore's film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition .",0,0.0020822256337851286,roberta-mlm-loss,easy
38," . . . a joke at once flaky and resonant , lightweight and bizarrely original .",0,0.03660988807678223,roberta-mlm-loss,medium
39,"fontaine's direction , especially her agreeably startling use of close-ups and her grace with a moving camera , creates sheerly cinematic appeal .",0,0.2014251947402954,roberta-mlm-loss,hard
40,"starts slowly , but adrien brody  in the title role  helps make the film's conclusion powerful and satisfying .",0,0.0013018116587772965,roberta-mlm-loss,easy
41,a refreshing change from the usual whoopee-cushion effort aimed at the youth market .,0,0.0018161010229960084,roberta-mlm-loss,easy
42,"you really have to salute writer-director haneke ( he adapted elfriede jelinek's novel ) for making a film that isn't nearly as graphic but much more powerful , brutally shocking and difficult to watch .",0,0.31591305136680603,roberta-mlm-loss,hard
43,"barry convinces us he's a dangerous , secretly unhinged guy who could easily have killed a president because it made him feel powerful .",0,0.010498883202672005,roberta-mlm-loss,medium
44,"a distant , even sterile , yet compulsively watchable look at the sordid life of hogan's heroes star bob crane .",0,0.278766006231308,roberta-mlm-loss,hard
45,"there's no disguising this as one of the worst films of the summer . or for the year , for that matter .",0,0.0040197293274104595,roberta-mlm-loss,easy
46,"director dan verete uses his camera as the metaphoric needle , and his cast in each segment as his thread , to form a sweeping tapestry of mis-explanation and contention .",0,0.06516601145267487,roberta-mlm-loss,medium
47,"waydowntown just like most large cities , isn't somewhere you'll want to spend the rest of your life , but it sure is a fun place to visit for a while .",0,0.16878864169120789,roberta-mlm-loss,hard
48,"the acting in pauline and paulette is good all round , but what really sets the film apart is debrauwer's refusal to push the easy emotional buttons .",0,0.1501830816268921,roberta-mlm-loss,hard
49,the only young people who possibly will enjoy it are infants . . . who might be distracted by the movie's quick movements and sounds .,0,0.0018626018427312374,roberta-mlm-loss,easy
50,there's lots of cool stuff packed into espn's ultimate x .,0,0.1691601276397705,roberta-mlm-loss,hard
51,it gets old quickly . watch barbershop again if you're in need of a cube fix--this isn't worth sitting through .,0,0.4952859580516815,roberta-mlm-loss,hard
52,harland williams is so funny in drag he should consider permanent sex-reassignment .,0,0.002802147064357996,roberta-mlm-loss,easy
53,the film's images give a backbone to the company and provide an emotional edge to its ultimate demise .,0,0.00881107710301876,roberta-mlm-loss,medium
54,it's the kind of film where the villain even gives an evil look for his passport photo . how can you resist that ?,0,0.008842641487717628,roberta-mlm-loss,medium
55,plotless collection of moronic stunts is by far the worst movie of the year .,0,0.02479434572160244,roberta-mlm-loss,medium
56,"a broad , melodramatic estrogen opera that's pretty toxic in its own right .",0,0.7200929522514343,roberta-mlm-loss,hard
57,"just a kiss wants desperately to come off as a fanciful film about the typical problems of average people . but it is set in a world that is very , very far from the one most of us inhabit .",0,0.016011234372854233,roberta-mlm-loss,medium
58,this is a movie where the most notable observation is how long you've been sitting still .,0,0.0027908722404390574,roberta-mlm-loss,easy
59,"with a romantic comedy plotline straight from the ages , this cinderella story doesn't have a single surprise up its sleeve . but it does somehow manage to get you under its spell .",0,0.020651713013648987,roberta-mlm-loss,medium
60,a charming trifle . . . a welcome return to jocular form .,0,0.00033838083618320525,roberta-mlm-loss,easy
61,it's not difficult to spot the culprit early-on in this predictable thriller .,0,0.001480107894167304,roberta-mlm-loss,easy
62,"without the dark spookiness of crystal lake camp , the horror concept completely loses its creepy menace .",0,0.03510653227567673,roberta-mlm-loss,medium
63,there's suspension of disbelief and then there's bad screenwriting . . . this film packs a wallop of the latter .,0,0.000725905760191381,roberta-mlm-loss,easy
