index,text,score,difficulty_score,difficulty_strategy,difficulty,fold,entropy
1,"color , musical bounce and warm seas lapping on island shores . and just enough science to send you home thinking .",0,0.1491685062646865,roberta-mlm-loss,hard,0,0.6926308804866066
3,a light-hearted french film about the spiritual quest of a fashion model seeking peace of mind while in a love affair with a veterinarian who is a non-practicing jew .,0,0.3349910676479339,roberta-mlm-loss,hard,0,0.687843068343365
4,"my wife is an actress has its moments in looking at the comic effects of jealousy . in the end , though , it is only mildly amusing when it could have been so much more .",0,0.0071724960580468,roberta-mlm-loss,medium,0,0.5696038269550541
6,"even a hardened voyeur would require the patience of job to get through this interminable , shapeless documentary about the swinging subculture .",0,0.4711770117282867,roberta-mlm-loss,hard,0,0.6920458418038424
7,"when perry fists a bull at the moore farm , it's only a matter of time before he gets the upper hand in matters of the heart .",0,0.0973923057317733,roberta-mlm-loss,hard,0,0.6866467624310464
8,"the characters . . . are paper-thin , and their personalities undergo radical changes when it suits the script .",0,0.0005523173022083,roberta-mlm-loss,easy,0,0.6572754920476829
12,it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .,0,0.0031810963992029,roberta-mlm-loss,easy,0,0.4534399261664618
13,"provides the kind of 'laugh therapy' i need from movie comedies -- offbeat humor , amusing characters , and a happy ending . after seeing 'analyze that , ' i feel better already .",0,0.0037379330024123,roberta-mlm-loss,easy,0,0.11326025637408595
14,"worth a look by those on both sides of the issues , if only for the perspective it offers , one the public rarely sees .",0,0.0051672914996743,roberta-mlm-loss,easy,0,0.5810073663847656
17,"it's a good thing that woolly mammoths are extinct , because this movie will have every kid in the schoolyard wishing for their very own .",0,0.0008956806268543,roberta-mlm-loss,easy,0,0.3343841649274825
18,"preposterous and tedious , sonny is spiked with unintentional laughter that , unfortunately , occurs too infrequently to make the film even a guilty pleasure .",0,0.010870604775846,roberta-mlm-loss,medium,0,0.4666776830855505
19,"4ever has the same sledgehammer appeal as pokemon videos , but it breathes more on the big screen and induces headaches more slowly .",0,0.1181803941726684,roberta-mlm-loss,hard,0,0.533443628922945
21,it's hard to tell with all the crashing and banging where the salesmanship ends and the movie begins .,0,0.0088073266670107,roberta-mlm-loss,medium,0,0.47500888400446106
22,"it desperately wants to be a wacky , screwball comedy , but the most screwy thing here is how so many talented people were convinced to waste their time .",0,0.0031542368233203,roberta-mlm-loss,easy,0,0.6757974913547667
23,"writer/director walter hill is in his hypermasculine element here , once again able to inject some real vitality and even art into a pulpy concept that , in many other hands would be completely forgettable .",0,0.1891638189554214,roberta-mlm-loss,hard,0,0.5986333721943209
24,"hill looks to be going through the motions , beginning with the pale script .",0,0.7483453154563904,roberta-mlm-loss,hard,0,0.5766543143498968
25,"extremely well cast , especially in the large number of supporting roles .",0,0.0014791016001254,roberta-mlm-loss,easy,0,0.6046422160060716
28,"impostor doesn't do much with its template , despite a remarkably strong cast .",0,0.0042669367976486,roberta-mlm-loss,easy,0,0.4209467942582754
32,a work that lacks both a purpose and a strong pulse .,0,0.0030461084097623,roberta-mlm-loss,easy,0,0.6675836076780757
34,a mimetic approximation of better films like contempt and 8 1/2 .,0,1.155276894569397,roberta-mlm-loss,hard,0,0.38639341483247114
35,"eastwood is an icon of moviemaking , one of the best actors , directors and producers around , responsible for some excellent work . but even a hero can stumble sometimes .",0,0.1193120032548904,roberta-mlm-loss,hard,0,0.558637904967821
37,"stuffed to the brim with ideas , american instigator michael moore's film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition .",0,0.0020822256337851,roberta-mlm-loss,easy,0,0.5831825492726361
40,"starts slowly , but adrien brody  in the title role  helps make the film's conclusion powerful and satisfying .",0,0.0013018116587772,roberta-mlm-loss,easy,0,0.5407555247208551
45,"there's no disguising this as one of the worst films of the summer . or for the year , for that matter .",0,0.0040197293274104,roberta-mlm-loss,easy,0,0.5672722616685275
46,"director dan verete uses his camera as the metaphoric needle , and his cast in each segment as his thread , to form a sweeping tapestry of mis-explanation and contention .",0,0.0651660114526748,roberta-mlm-loss,medium,0,0.6437600229520201
47,"waydowntown just like most large cities , isn't somewhere you'll want to spend the rest of your life , but it sure is a fun place to visit for a while .",0,0.1687886416912078,roberta-mlm-loss,hard,0,0.5292182634639377
50,there's lots of cool stuff packed into espn's ultimate x .,0,0.1691601276397705,roberta-mlm-loss,hard,0,0.6303795857559438
51,it gets old quickly . watch barbershop again if you're in need of a cube fix--this isn't worth sitting through .,0,0.4952859580516815,roberta-mlm-loss,hard,0,0.6005228567038219
52,harland williams is so funny in drag he should consider permanent sex-reassignment .,0,0.0028021470643579,roberta-mlm-loss,easy,0,0.6054791511029225
53,the film's images give a backbone to the company and provide an emotional edge to its ultimate demise .,0,0.0088110771030187,roberta-mlm-loss,medium,0,0.550334115292117
54,it's the kind of film where the villain even gives an evil look for his passport photo . how can you resist that ?,0,0.0088426414877176,roberta-mlm-loss,medium,0,0.477598014674083
55,plotless collection of moronic stunts is by far the worst movie of the year .,0,0.0247943457216024,roberta-mlm-loss,medium,0,0.3683390315441168
