index,text,score,difficulty_score,difficulty_strategy,difficulty,fold,entropy
0,"smart and alert , thirteen conversations about one thing is a small gem .",0,0.1415386646986007,roberta-mlm-loss,hard,0,0.6294705760370128
2,it is not a mass-market entertainment but an uncompromising attempt by one artist to think about another .,0,0.0303150191903114,roberta-mlm-loss,medium,0,0.6275260196663361
3,a light-hearted french film about the spiritual quest of a fashion model seeking peace of mind while in a love affair with a veterinarian who is a non-practicing jew .,0,0.3349910676479339,roberta-mlm-loss,hard,0,0.687866047135438
4,"my wife is an actress has its moments in looking at the comic effects of jealousy . in the end , though , it is only mildly amusing when it could have been so much more .",0,0.0071724960580468,roberta-mlm-loss,medium,0,0.5694179390582732
5,works both as an engaging drama and an incisive look at the difficulties facing native americans .,0,0.0014375883620232,roberta-mlm-loss,easy,0,0.6920981796959343
6,"even a hardened voyeur would require the patience of job to get through this interminable , shapeless documentary about the swinging subculture .",0,0.4711770117282867,roberta-mlm-loss,hard,0,0.6870092335876423
7,"when perry fists a bull at the moore farm , it's only a matter of time before he gets the upper hand in matters of the heart .",0,0.0973923057317733,roberta-mlm-loss,hard,0,0.6581490807356386
8,"the characters . . . are paper-thin , and their personalities undergo radical changes when it suits the script .",0,0.0005523173022083,roberta-mlm-loss,easy,0,0.40533155116758346
9,"the script is a tired one , with few moments of joy rising above the stale material .",0,0.0059227314777672,roberta-mlm-loss,medium,0,0.6492808277502824
10,"the bland outweighs the nifty , and cletis tout never becomes the clever crime comedy it thinks it is .",0,0.07033471763134,roberta-mlm-loss,medium,0,0.4525279728091045
11,directed by david twohy with the same great eye for eerie understatement that he brought to pitch black .,0,0.3845321536064148,roberta-mlm-loss,hard,0,0.11193720022999865
12,it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .,0,0.0031810963992029,roberta-mlm-loss,easy,0,0.5825901752722246
13,"provides the kind of 'laugh therapy' i need from movie comedies -- offbeat humor , amusing characters , and a happy ending . after seeing 'analyze that , ' i feel better already .",0,0.0037379330024123,roberta-mlm-loss,easy,0,0.219500757030149
15,watching the film is like reading a times portrait of grief that keeps shifting focus to the journalist who wrote it .,0,0.6708661317825317,roberta-mlm-loss,hard,0,0.3312806937893395
16,"despite these annoyances , the capable clayburgh and tambor really do a great job of anchoring the characters in the emotional realities of middle age .",0,0.1679935157299041,roberta-mlm-loss,hard,0,0.4671117856082855
17,"it's a good thing that woolly mammoths are extinct , because this movie will have every kid in the schoolyard wishing for their very own .",0,0.0008956806268543,roberta-mlm-loss,easy,0,0.5332584329598031
18,"preposterous and tedious , sonny is spiked with unintentional laughter that , unfortunately , occurs too infrequently to make the film even a guilty pleasure .",0,0.010870604775846,roberta-mlm-loss,medium,0,0.6893329789721359
20,"si el siglo xxi necesita de hroes , el hombre araa parece haber llegado para quedarse .",0,0.4566664397716522,roberta-mlm-loss,hard,0,0.6756862189694899
21,it's hard to tell with all the crashing and banging where the salesmanship ends and the movie begins .,0,0.0088073266670107,roberta-mlm-loss,medium,0,0.5982952675480852
