index,text,score,difficulty_score,difficulty_strategy,dificulty,fold,entropy
0,"The Rock is destined to be the 21st Century's new ''Conan'' and that he's going to make a splash even greater than Arnold Schwarzenegger, Jean Claud Van Damme or Steven Segal.",1,0.4012162387371063,roberta-mlm-loss,hard,0,0.6881324618703459
1,The gorgeously elaborate continuation of ''The Lord of the Rings'' trilogy is so huge that a column of words cannot adequately describe co writer/director Peter Jackson's expanded vision of J.R.R. Tolkien's Middle earth.,1,0.2394487112760543,roberta-mlm-loss,hard,0,0.6864133480169166
3,"If you sometimes like to go to the movies to have fun, Wasabi is a good place to start.",1,0.0020420255605131,roberta-mlm-loss,medium,0,0.6122471709425419
5,The film provides some great insight into the neurotic mindset of all comics    even those who have reached the absolute top of the game.,1,0.0032540569081902,roberta-mlm-loss,medium,0,0.6245420117922544
7,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions.,1,0.0137002486735582,roberta-mlm-loss,medium,0,0.6570555698515308
11,What really surprises about Wisegirls is its low key quality and genuine tenderness.,1,0.0345562137663364,roberta-mlm-loss,hard,0,0.6880837460886933
15,An utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question.,1,0.0011994309024885,roberta-mlm-loss,easy,0,0.681271874884315
16,Illuminating if overly talky documentary.,1,0.0022701427806168,roberta-mlm-loss,medium,0,0.6793950421451103
17,A masterpiece four years in the making.,1,0.0010460650082677,roberta-mlm-loss,easy,0,0.5651189835356899
20,"A thoughtful, provocative, insistently humanizing film.",1,0.0104435002431273,roberta-mlm-loss,medium,0,0.6299574276521465
21,"With a cast that includes some of the top actors working in independent film, Lovely &amp; Amazing involves us because it is so incisive, so bleakly amusing about how we go about our lives.",1,0.4554034769535064,roberta-mlm-loss,hard,0,0.5849592984446704
23,"Not for everyone, but for those with whom it will connect, it's a nice departure from standard moviegoing fare.",1,0.0005755976308137,roberta-mlm-loss,easy,0,0.651931782043659
25,"Occasionally melodramatic, it's also extremely effective.",1,0.0008188139181584,roberta-mlm-loss,easy,0,0.6929747096867719
26,An idealistic love story that brings out the latent 15 year old romantic in everyone.,1,0.0008637790451757,roberta-mlm-loss,easy,0,0.6088540353396164
27,"At about 95 minutes, Treasure Planet maintains a brisk pace as it races through the familiar story. However, it lacks grandeur and that epic quality often associated with Stevenson's tale as well as with earlier Disney efforts.",-1,0.0030652603600174,roberta-mlm-loss,medium,0,0.6669063912226545
28,It helps that Lil Bow Wow ... tones down his pint sized gangsta act to play someone who resembles a real kid.,1,0.0708857551217079,roberta-mlm-loss,hard,0,0.689428778180162
30,"A masterful film from a master filmmaker, unique in its deceptive grimness, compelling in its fatalist worldview.",1,0.0010975742479786,roberta-mlm-loss,easy,0,0.5574667151409045
32,"If there's a way to effectively teach kids about the dangers of drugs, I think it's in projects like the (unfortunately R rated) Paid.",1,0.4672999083995819,roberta-mlm-loss,hard,0,0.6924009813998064
33,"While it would be easy to give Crush the new title of Two Weddings and a Funeral, it's a far more thoughtful film than any slice of Hugh Grant whimsy.",1,0.2785215973854065,roberta-mlm-loss,hard,0,0.6560321046794553
34,"Though everything might be literate and smart, it never took off and always seemed static.",-1,0.0026631238870322,roberta-mlm-loss,medium,0,0.6907716729154945
35,"Cantet perfectly captures the hotel lobbies, two lane highways, and roadside cafes that permeate Vincent's days",1,0.0197524894028902,roberta-mlm-loss,hard,0,0.6439844113980833
