index,text,score,difficulty_score,difficulty_strategy,difficulty,fold,entropy
0,I want togo home :(,-1,0.2603725492954254,roberta-mlm-loss,hard,0,0.6892933388949267
1,i can feel that my dark eye rings are getting darker and darker now. i mean processing right now! argh :(,-1,0.4860814809799194,roberta-mlm-loss,hard,0,0.6806342918615155
2,@JasonM314 WOW! Nice one on the not smoking!!! I am too addicted to quit! :-(,-1,0.3136752545833587,roberta-mlm-loss,hard,0,0.6802746078044213
3,sitting next cute little toddlers on the subway always puts me in a good mood...but now I miss my niece and nephews :(,-1,0.1251522451639175,roberta-mlm-loss,medium,0,0.6918517983812222
4,Solved the multitasking and battery dilemma of iPhones by putting a SIM in my 3G and using it in parallel with my 3GS(syncs via MobileMe):-P,1,0.0081198262050747,roberta-mlm-loss,easy,0,0.6878311871178319
5,Haha! That's funy!!!! :) RT @melsie75: @jordanknight YAY! I feel like I just experienced the second coming of Jesus!!!!!,1,0.0187793001532554,roberta-mlm-loss,easy,0,0.6730505318664259
6,Photo: (via fuckyeahhappy) awwwww :ÕDDD http://tumblr.com/xue2tnt0q,1,0.1841307580471038,roberta-mlm-loss,medium,0,0.679976256732733
7,"I think my scalp is sunburned :( Interesting, considering I haven't been outside today. Fucking bull if you ask me....OWWWIEEE",-1,0.1188801825046539,roberta-mlm-loss,medium,0,0.6913250325105205
8,http://twitpic.com/c2j19 - The Blender at Gramercy on a sad sad day :(,-1,0.083867110311985,roberta-mlm-loss,medium,0,0.6883400517515039
9,"Not @ school :(, cause I'm sick -- for rillz. :| I can't believe it either",-1,0.0257138218730688,roberta-mlm-loss,medium,0,0.6901460928210499
10,@MattchewCorpuz because I always mess this up :(,-1,0.2819190621376037,roberta-mlm-loss,hard,0,0.6838502042217615
11,HAPPY TIME // Tim Buckley ft Danny Thompson on bass: http://bit.ly/16wa8 - DT shed a tear showing me this the other day :(,-1,0.2576485276222229,roberta-mlm-loss,hard,0,0.6920508054626666
12,Shit. Forget to restore dorry's food when i go out. :( so guilty now! :(,-1,0.5749542117118835,roberta-mlm-loss,hard,0,0.691155467910632
13,"Just dropped Alicia off at the airport-- what to do with myself until Sunday? Oh ya, homework..... :(",-1,0.0136928437277674,roberta-mlm-loss,easy,0,0.6865173301257572
14,@kuuipo1207 are their pigments good??? i dont have any occ stuff yet :(,-1,0.754766047000885,roberta-mlm-loss,hard,0,0.6659461416757553
15,"Whee, just uselessly biked back and forth between Voorhout, turns out I don't have to work until 12:30. Could have slept in... :(",-1,0.1001188457012176,roberta-mlm-loss,medium,0,0.6919316813639473
16,and i never see you on my online friends :(,-1,0.0029870835132896,roberta-mlm-loss,easy,0,0.628128548299683
18,RT LOVE IT!!.LeeConti #bb10 I expect there to be a massive reduction in new born babies named Beatrice for a number of years to come..,1,0.3747215270996094,roberta-mlm-loss,hard,0,0.6909834656759919
19,Terrible sports weekend.... VT and Eagles lose. Unbelievable :(,-1,0.0062956153415143,roberta-mlm-loss,easy,0,0.6918689457489036
21,I hate being sick its gay. :(,-1,0.1371072679758072,roberta-mlm-loss,medium,0,0.6898366864198172
22,@vickiheyworth you're right. Maybe the perfect costume is in the closet. I wanted a wig though. :(,-1,0.0030969309154897,roberta-mlm-loss,easy,0,0.6796743551353269
26,@tamster1328 Hi. I'm Lisa. I can't listen to the cell cast. :(,-1,0.340000182390213,roberta-mlm-loss,hard,0,0.690957616105598
29,Its depressing to watch my bank account get smaller and never bigger:( I need to get a job soon!,-1,0.9048011302947998,roberta-mlm-loss,hard,0,0.6904197753633353
30,"don't cry honey, i miss you too :(",-1,0.0005016083596274,roberta-mlm-loss,easy,0,0.6913637679679846
31,"airport tomorrow morning, can't wait, i get to see my japanese host student, i miss her! :(",-1,0.0362987741827964,roberta-mlm-loss,medium,0,0.6820967211490943
32,My boyfriend officially banned me from taking space trips :(,-1,0.0061516086570918,roberta-mlm-loss,easy,0,0.693130839094461
33,"@EmmaLBishop Usually by this point I'm feeling slightly more human, but I feel the same, I just wanna stop shaking :(",-1,0.030909052118659,roberta-mlm-loss,medium,0,0.6926178336350709
34,what do i have to do? .......... :(,-1,0.7869851589202881,roberta-mlm-loss,hard,0,0.6931416024330631
35,I'm at the Cinemar *all by myselfffffff*. I miss you :( x,-1,0.5338576436042786,roberta-mlm-loss,hard,0,0.6727244037260278
