index,text,score,fold,entropy
1,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth . ",1,0,0.6909305868069622
4,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one . ",1,0,0.6924874991616229
5,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game . ,1,0,0.6225207380682194
10,"this is a film well worth seeing , talking and singing heads and all . ",1,0,0.5425241940085223
11,what really surprises about wisegirls is its low-key quality and genuine tenderness . ,1,0,0.6844620090908726
12," ( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind . ",1,0,0.6336189216384227
13,"one of the greatest family-oriented , fantasy-adventure movies ever . ",1,0,0.5053348172405696
16,illuminating if overly talky documentary . ,1,0,0.6857064902323522
17,a masterpiece four years in the making . ,1,0,0.6426010884880115
20,"a thoughtful , provocative , insistently humanizing film . ",1,0,0.6479924727970299
24,scores a few points for doing what it does with a dedicated and good-hearted professionalism . ,1,0,0.6919854442912206
25,"occasionally melodramatic , it's also extremely effective . ",1,0,0.6754183493681907
26,spiderman rocks,1,0,0.6931124119899665
27,an idealistic love story that brings out the latent 15-year-old romantic in everyone . ,1,0,0.5888970324980201
28,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts . ",1,0,0.6700680622668143
30,"guaranteed to move anyone who ever shook , rattled , or rolled . ",1,0,0.6882715978561136
31,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview . ",1,0,0.5213899350040035
34,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy . ",1,0,0.5754056607918385
36,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1,0,0.6009024156613672
37,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn . ",1,0,0.6922762873524914
38,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them . ",1,0,0.6507727473774471
40,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg . ",1,0,0.6889846800324071
41,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride . ",1,0,0.6908773315933812
42,fuller would surely have called this gutsy and at times exhilarating movie a great yarn . ,1,0,0.692383260999921
43,"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,0,0.6838016493591179
44,the film makes a strong case for the importance of the musicians in creating the motown sound . ,1,0,0.6900231289940976
45,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat . ",1,0,0.6607891471716032
47,"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know . ",1,0,0.4181162681166738
48,tender yet lacerating and darkly funny fable . ,1,0,0.5479867295309497
49,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today . ,1,0,0.6899607928976508
50,an engaging overview of johnson's eccentric career . ,1,0,0.6583090053331165
51,"in its ragged , cheap and unassuming way , the movie works . ",1,0,0.5652523293043666
52,some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors . ,1,0,0.6931037301212781
53,"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open . ",1,0,0.5277639584442543
56,"manages to be original , even though it rips off many of its ideas . ",1,0,0.6909052484741371
57,"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly captures the intended , er , spirit of the piece . ",1,0,0.6736171824177564
58,you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here . ,1,0,0.6533174855644212
59,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow . ",1,0,0.6706969490149404
60,"a pleasant enough movie , held together by skilled ensemble actors . ",1,0,0.6889613755448192
62,disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both . ,1,0,0.6845102352813071
64,"the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense . ",1,0,0.635912802649772
66,"morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start . ",1,0,0.6694383881586587
67,part of the charm of satin rouge is that it avoids the obvious with humour and lightness . ,1,0,0.5681759192061369
68,son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness . ,1,0,0.692122892495951
69,a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them . ,1,0,0.6931449001218781
70,"a taut , intelligent psychological drama . ",1,0,0.4124422662747008
74,at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance . ,1,0,0.6737223421050955
75,"the appearance of treebeard and gollum's expanded role will either have you loving what you're seeing , or rolling your eyes . i loved it ! gollum's 'performance' is incredible ! ",1,0,0.5149591071881867
82,"this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border . ",1,0,0.5630307578772065
83,an imaginative comedy/thriller . ,1,0,0.629326919719263
85,"while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at . ",1,0,0.5142235708882835
87,"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth . ",1,0,0.6373501451527559
89,a sports movie with action that's exciting on the field and a story you care about off it . ,1,0,0.6892678692352332
90,"doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie's spycraft and uses damon's ability to be focused and sincere . ",1,0,0.5887221808383528
91,the tenderness of the piece is still intact . ,1,0,0.5060899657330428
93,"like the film's almost anthropologically detailed realization of early-'80s suburbia , it's significant without being overstated . ",1,0,0.6871194827615124
94,while mcfarlane's animation lifts the film firmly above the level of other coming-of-age films . . . it's also so jarring that it's hard to get back into the boys' story . ,1,0,0.6319051052346554
97,writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear . ,1,0,0.6621046400086527
98, . . . a roller-coaster ride of a movie,1,0,0.668460539663206
99,"i enjoyed time of favor while i was watching it , but i was surprised at how quickly it faded from my memory . ",1,0,0.6917562495343562
100,"chicago is sophisticated , brash , sardonic , completely joyful in its execution . ",1,0,0.6919495880198436
101,steve irwin's method is ernest hemmingway at accelerated speed and volume . ,1,0,0.6931404624867867
102,a refreshing korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters . ,1,0,0.6727391106717191
104,"the values that have held the enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure . ",1,0,0.6821314677831344
105,"if it's possible for a sequel to outshine the original , then sl2 does just that . ",1,0,0.6847718599414078
109,"it might be tempting to regard mr . andrew and his collaborators as oddballs , but mr . earnhart's quizzical , charming movie allows us to see them , finally , as artists . ",1,0,0.6674419898814108
112,"a mostly intelligent , engrossing and psychologically resonant suspenser . ",1,0,0.4303560831629186
113,"it's this memory-as-identity obviation that gives secret life its intermittent unease , reaffirming that long-held illusions are indeed reality , and that erasing them recasts the self . ",1,0,0.6653358676559857
