index,text,score,difficulty_score,difficulty_strategy,dificulty
0,"smart and alert , thirteen conversations about one thing is a small gem .",0,0.14153499901294708,roberta-mlm-loss,hard
1,"color , musical bounce and warm seas lapping on island shores . and just enough science to send you home thinking .",0,0.1491643190383911,roberta-mlm-loss,hard
2,it is not a mass-market entertainment but an uncompromising attempt by one artist to think about another .,0,0.030314218252897263,roberta-mlm-loss,medium
3,a light-hearted french film about the spiritual quest of a fashion model seeking peace of mind while in a love affair with a veterinarian who is a non-practicing jew .,0,0.3349909782409668,roberta-mlm-loss,hard
4,"my wife is an actress has its moments in looking at the comic effects of jealousy . in the end , though , it is only mildly amusing when it could have been so much more .",0,0.007171627599745989,roberta-mlm-loss,medium
5,works both as an engaging drama and an incisive look at the difficulties facing native americans .,0,0.0014373963931575418,roberta-mlm-loss,easy
6,"even a hardened voyeur would require the patience of job to get through this interminable , shapeless documentary about the swinging subculture .",0,0.4711763858795166,roberta-mlm-loss,hard
7,"when perry fists a bull at the moore farm , it's only a matter of time before he gets the upper hand in matters of the heart .",0,0.09739192575216293,roberta-mlm-loss,hard
8,"the characters . . . are paper-thin , and their personalities undergo radical changes when it suits the script .",0,0.0005521876737475395,roberta-mlm-loss,easy
9,"the script is a tired one , with few moments of joy rising above the stale material .",0,0.005922255571931601,roberta-mlm-loss,medium
10,"the bland outweighs the nifty , and cletis tout never becomes the clever crime comedy it thinks it is .",0,0.07033325731754303,roberta-mlm-loss,medium
11,directed by david twohy with the same great eye for eerie understatement that he brought to pitch black .,0,0.3845302164554596,roberta-mlm-loss,hard
12,it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .,0,0.0031809452921152115,roberta-mlm-loss,easy
13,"provides the kind of 'laugh therapy' i need from movie comedies -- offbeat humor , amusing characters , and a happy ending . after seeing 'analyze that , ' i feel better already .",0,0.0037369655910879374,roberta-mlm-loss,easy
14,"worth a look by those on both sides of the issues , if only for the perspective it offers , one the public rarely sees .",0,0.005166538991034031,roberta-mlm-loss,easy
15,watching the film is like reading a times portrait of grief that keeps shifting focus to the journalist who wrote it .,0,0.6708653569221497,roberta-mlm-loss,hard
16,"despite these annoyances , the capable clayburgh and tambor really do a great job of anchoring the characters in the emotional realities of middle age .",0,0.1679932028055191,roberta-mlm-loss,hard
17,"it's a good thing that woolly mammoths are extinct , because this movie will have every kid in the schoolyard wishing for their very own .",0,0.000895550474524498,roberta-mlm-loss,easy
18,"preposterous and tedious , sonny is spiked with unintentional laughter that , unfortunately , occurs too infrequently to make the film even a guilty pleasure .",0,0.010869831778109074,roberta-mlm-loss,medium
19,"4ever has the same sledgehammer appeal as pokemon videos , but it breathes more on the big screen and induces headaches more slowly .",0,0.11817886680364609,roberta-mlm-loss,hard
20,"si el siglo xxi necesita de hroes , el hombre araa parece haber llegado para quedarse .",0,0.45666417479515076,roberta-mlm-loss,hard
21,it's hard to tell with all the crashing and banging where the salesmanship ends and the movie begins .,0,0.008806778118014336,roberta-mlm-loss,medium
22,"it desperately wants to be a wacky , screwball comedy , but the most screwy thing here is how so many talented people were convinced to waste their time .",0,0.0031537767499685287,roberta-mlm-loss,easy
23,"writer/director walter hill is in his hypermasculine element here , once again able to inject some real vitality and even art into a pulpy concept that , in many other hands would be completely forgettable .",0,0.1891634464263916,roberta-mlm-loss,hard
24,"hill looks to be going through the motions , beginning with the pale script .",0,0.7483469843864441,roberta-mlm-loss,hard
25,"extremely well cast , especially in the large number of supporting roles .",0,0.0014790375716984272,roberta-mlm-loss,easy
26,a chilling tale of one of the great crimes of 20th century france : the murder of two rich women by their servants in 1933 .,0,0.0014680946478620172,roberta-mlm-loss,easy
27,"a dark , quirky road movie that constantly defies expectation .",0,0.008500557392835617,roberta-mlm-loss,medium
28,"impostor doesn't do much with its template , despite a remarkably strong cast .",0,0.004266300704330206,roberta-mlm-loss,easy
29,"though it lacks the utter authority of a genre gem , there's a certain robustness to this engaging mix of love and bloodletting .",0,0.0035623968578875065,roberta-mlm-loss,easy
30,"if you can keep your eyes open amid all the blood and gore , you'll see del toro has brought unexpected gravity to blade ii .",0,0.46974608302116394,roberta-mlm-loss,hard
31,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening .",0,0.07647974789142609,roberta-mlm-loss,medium
32,a work that lacks both a purpose and a strong pulse .,0,0.0030456185340881348,roberta-mlm-loss,easy
33,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,0,0.046927496790885925,roberta-mlm-loss,medium
34,a mimetic approximation of better films like contempt and 8 1/2 .,0,1.1552764177322388,roberta-mlm-loss,hard
35,"eastwood is an icon of moviemaking , one of the best actors , directors and producers around , responsible for some excellent work . but even a hero can stumble sometimes .",0,0.11931221932172775,roberta-mlm-loss,hard
36,"nair doesn't use [monsoon wedding] to lament the loss of culture . instead , she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions .",0,0.03807605057954788,roberta-mlm-loss,medium
37,"stuffed to the brim with ideas , american instigator michael moore's film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition .",0,0.0020816377364099026,roberta-mlm-loss,easy
38," . . . a joke at once flaky and resonant , lightweight and bizarrely original .",0,0.0366092175245285,roberta-mlm-loss,medium
39,"fontaine's direction , especially her agreeably startling use of close-ups and her grace with a moving camera , creates sheerly cinematic appeal .",0,0.2014232724905014,roberta-mlm-loss,hard
40,"starts slowly , but adrien brody  in the title role  helps make the film's conclusion powerful and satisfying .",0,0.0013016120065003633,roberta-mlm-loss,easy
41,a refreshing change from the usual whoopee-cushion effort aimed at the youth market .,0,0.001815799274481833,roberta-mlm-loss,easy
42,"you really have to salute writer-director haneke ( he adapted elfriede jelinek's novel ) for making a film that isn't nearly as graphic but much more powerful , brutally shocking and difficult to watch .",0,0.31591174006462097,roberta-mlm-loss,hard
43,"barry convinces us he's a dangerous , secretly unhinged guy who could easily have killed a president because it made him feel powerful .",0,0.010497703216969967,roberta-mlm-loss,medium
