index,text,score,difficulty_score,difficulty_strategy,dificulty,fold,entropy
0,"simplistic , silly and tedious .",-1,0.0021712123416364,roberta-mlm-loss,easy,0,0.3464653990689172
1,"it's so laddish and juvenile , only teenage boys could possibly find it funny .",-1,0.0018709221621975,roberta-mlm-loss,easy,0,0.6926672804617799
2,exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable .,-1,0.0077093802392482,roberta-mlm-loss,medium,0,0.6664337436845236
3,"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation .",-1,0.0169519241899251,roberta-mlm-loss,medium,0,0.691838637792626
4,a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification .,-1,0.0017351135611534,roberta-mlm-loss,easy,0,0.6043562580665073
5,"the story is also as unoriginal as they come , already having been recycled more times than i'd care to count .",-1,0.0012075813720002,roberta-mlm-loss,easy,0,0.6480739603417678
6,about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time .,-1,0.1125198304653167,roberta-mlm-loss,hard,0,0.5806146140542514
8,unfortunately the story and the actors are served with a hack script .,-1,0.0115458145737648,roberta-mlm-loss,medium,0,0.6811525617540655
9,"all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject .",-1,0.0011620912700891,roberta-mlm-loss,easy,0,0.643612406629078
10,a sentimental mess that never rings true .,-1,0.0645065233111381,roberta-mlm-loss,hard,0,0.6929331465535669
11,"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary .",-1,0.0025752803776413,roberta-mlm-loss,easy,0,0.646687954374016
12,"interesting , but not compelling .",-1,0.0004533898027148,roberta-mlm-loss,easy,0,0.6485118533545675
13,"on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire .",-1,0.0488764829933643,roberta-mlm-loss,medium,0,0.6919022133346762
15,there is a difference between movies with the courage to go over the top and movies that don't care about being stupid,-1,0.0012788458261638,roberta-mlm-loss,easy,0,0.6799140668321502
16,"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah .",-1,0.8714401721954346,roberta-mlm-loss,hard,0,0.3647967381861392
18,"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha .",-1,0.0010251284111291,roberta-mlm-loss,easy,0,0.6300440475071893
20,the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl .,-1,0.0189447719603776,roberta-mlm-loss,medium,0,0.5188480947340666
21,"on its own , it's not very interesting . as a remake , it's a pale imitation .",-1,0.0007098071509972,roberta-mlm-loss,easy,0,0.6923182116266886
22,it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action .,-1,0.0040271603502333,roberta-mlm-loss,easy,0,0.6610301629936322
23,"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films .",-1,0.0048960801213979,roberta-mlm-loss,medium,0,0.6923547980209885
24,"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma .",-1,0.0025706156156957,roberta-mlm-loss,easy,0,0.527866225672857
25,the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville .,-1,0.0728808268904686,roberta-mlm-loss,hard,0,0.5767706738298191
26,our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender  and i know this because i've seen 'jackass : the movie . ',-1,0.0157584249973297,roberta-mlm-loss,medium,0,0.6708488603032184
27,"the criticism never rises above easy , cynical potshots at morally bankrupt characters . . .",-1,0.0349514484405517,roberta-mlm-loss,medium,0,0.6446347058204638
28,"the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story . killing time , that's all that's going on here .",-1,0.3366590738296509,roberta-mlm-loss,hard,0,0.6784296586849312
29,"stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's "" waking up in reno . "" go back to sleep .",-1,0.0136528490111231,roberta-mlm-loss,medium,0,0.6908097204574526
30,"somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates .",-1,0.4636123180389404,roberta-mlm-loss,hard,0,0.6734891337103717
31,the action clichs just pile up .,-1,0.0086351018399,roberta-mlm-loss,medium,0,0.6925485684099701
32,"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast .",-1,0.2106722742319107,roberta-mlm-loss,hard,0,0.6931421995079141
33,the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear .,-1,0.1466729640960693,roberta-mlm-loss,hard,0,0.692676237544311
34,another useless recycling of a brutal mid-'70s american sports movie .,-1,0.0091082537546753,roberta-mlm-loss,medium,0,0.6927517511106969
36,"please , someone , stop eric schaeffer before he makes another film .",-1,0.0018392596393823,roberta-mlm-loss,easy,0,0.6907056164710165
38,". . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee .",-1,0.0138472989201545,roberta-mlm-loss,medium,0,0.6326102181088225
39,curling may be a unique sport but men with brooms is distinctly ordinary .,-1,0.0719410106539726,roberta-mlm-loss,hard,0,0.6855853880298048
40,"though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set .",-1,0.0102962516248226,roberta-mlm-loss,medium,0,0.47013934939026136
41,there's no getting around the fact that this is revenge of the nerds revisited -- again .,-1,0.214220717549324,roberta-mlm-loss,hard,0,0.6925268810905998
42,"the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable .",-1,0.0009219926432706,roberta-mlm-loss,easy,0,0.6558704807407056
43,"analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in .",-1,0.0709587261080741,roberta-mlm-loss,hard,0,0.6765574583245374
44,"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins .",-1,0.0040522115305066,roberta-mlm-loss,easy,0,0.6927878479076405
46,"to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement .",-1,0.8631741404533386,roberta-mlm-loss,hard,0,0.6571162889576038
49,everything is off .,-1,0.0166718177497386,roberta-mlm-loss,medium,0,0.6909427444325502
50,"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and shout , 'hey , kool-aid ! '",-1,0.0072967526502907,roberta-mlm-loss,medium,0,0.6930863743273403
51,"an easy watch , except for the annoying demeanour of its lead character .",-1,0.0003176643513143,roberta-mlm-loss,easy,0,0.6878898180761502
52,"imagine the cleanflicks version of 'love story , ' with ali macgraw's profanities replaced by romance-novel platitudes .",-1,0.3842547237873077,roberta-mlm-loss,hard,0,0.6202797953425121
53,"pc stability notwithstanding , the film suffers from a simplistic narrative and a pat , fairy-tale conclusion .",-1,0.7476615905761719,roberta-mlm-loss,hard,0,0.6031681705208212
54,"forget the misleading title , what's with the unexplained baboon cameo ?",-1,0.0020050047896802,roberta-mlm-loss,easy,0,0.6907765406976902
55,"an odd , haphazard , and inconsequential romantic comedy .",-1,0.0006363088614307,roberta-mlm-loss,easy,0,0.6878100795830302
56,"though her fans will assuredly have their funny bones tickled , others will find their humor-seeking dollars best spent elsewhere .",-1,0.0013804205227643,roberta-mlm-loss,easy,0,0.6892631093752544
57,"pascale bailly's rom-com provides amlie's audrey tautou with another fabuleux destin -- i . e . , a banal spiritual quest .",-1,0.1819495856761932,roberta-mlm-loss,hard,0,0.5910170294921329
58,"a static and sugary little half-hour , after-school special about interfaith understanding , stretched out to 90 minutes .",-1,0.0118331564590334,roberta-mlm-loss,medium,0,0.4493260400339564
59,"watching the chemistry between freeman and judd , however , almost makes this movie worth seeing . almost .",-1,0.0268806759268045,roberta-mlm-loss,medium,0,0.693145626957937
60,. . . a pretentious and ultimately empty examination of a sick and evil woman .,-1,0.0002937859680969,roberta-mlm-loss,easy,0,0.6166248394220224
61,"the country bears has no scenes that will upset or frighten young viewers . unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either .",-1,0.4318622350692749,roberta-mlm-loss,hard,0,0.6875159218307924
62,"the cumulative effect of watching this 65-minute trifle is rather like being trapped while some weird relative trots out the video he took of the family vacation to stonehenge . before long , you're desperate for the evening to end .",-1,0.2048070877790451,roberta-mlm-loss,hard,0,0.5728509336667693
63,the characters are never more than sketches . . . which leaves any true emotional connection or identification frustratingly out of reach .,-1,0.0021782973781228,roberta-mlm-loss,easy,0,0.6634274898999339
64,mattei's underdeveloped effort here is nothing but a convenient conveyor belt of brooding personalities that parade about as if they were coming back from stock character camp -- a drowsy drama infatuated by its own pretentious self-examination .,-1,0.266282856464386,roberta-mlm-loss,hard,0,0.6776092992959342
65,only in its final surprising shots does rabbit-proof fence find the authority it's looking for .,-1,0.3099802732467651,roberta-mlm-loss,hard,0,0.5458190801650439
66,"isn't as sharp as the original . . . despite some visual virtues , 'blade ii' just doesn't cut it .",-1,0.3913102447986603,roberta-mlm-loss,hard,0,0.5369453477210598
68,"maybe leblanc thought , "" hey , the movie about the baseball-playing monkey was worse . """,-1,0.1120181307196617,roberta-mlm-loss,hard,0,0.600151467434043
70,barry sonnenfeld owes frank the pug big time,-1,0.1635756939649582,roberta-mlm-loss,hard,0,0.4946489899025918
71,"the biggest problem with roger avary's uproar against the mpaa is that , even in all its director's cut glory , he's made a film that's barely shocking , barely interesting and most of all , barely anything .",-1,0.0860029011964798,roberta-mlm-loss,hard,0,0.6908191973587399
73,"i approached the usher and said that if she had to sit through it again , she should ask for a raise .",-1,0.020204683765769,roberta-mlm-loss,medium,0,0.6287126158863212
74,earnest but heavy-handed .,-1,0.0010677850805222,roberta-mlm-loss,easy,0,0.6209196206546348
75,if sinise's character had a brain his ordeal would be over in five minutes but instead the plot goes out of its way to introduce obstacles for him to stumble over .,-1,0.2873043417930603,roberta-mlm-loss,hard,0,0.459714961228382
77,"there's a reason the studio didn't offer an advance screening . "" the adventures of pluto nash "" is a big time stinker .",-1,0.0123911425471305,roberta-mlm-loss,medium,0,0.6923933271781202
78,"a punch line without a premise , a joke built entirely from musty memories of half-dimensional characters .",-1,0.0030977460555732,roberta-mlm-loss,easy,0,0.6921490086365061
79,"takes one character we don't like and another we don't believe , and puts them into a battle of wills that is impossible to care about and isn't very funny .",-1,0.0014071728801354,roberta-mlm-loss,easy,0,0.5528651496671309
80,the things this movie tries to get the audience to buy just won't fly with most intelligent viewers .,-1,0.0031279765535146,roberta-mlm-loss,easy,0,0.6836066677841561
81,"even if the enticing prospect of a lot of nubile young actors in a film about campus depravity didn't fade amid the deliberate , tiresome ugliness , it would be rendered tedious by avary's failure to construct a story with even a trace of dramatic interest .",-1,0.2297233790159225,roberta-mlm-loss,hard,0,0.5293621424684596
82,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,-1,0.1663318872451782,roberta-mlm-loss,hard,0,0.6924438783171214
83,"confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve .",-1,0.0049805920571088,roberta-mlm-loss,medium,0,0.6710573465335987
86,one can only assume that the jury who bestowed star hoffman's brother gordy with the waldo salt screenwriting award at 2002's sundance festival were honoring an attempt to do something different over actually pulling it off,-1,0.628918468952179,roberta-mlm-loss,hard,0,0.4659176362353838
87,"a movie more to be prescribed than recommended -- as visually bland as a dentist's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms .",-1,0.005517607089132,roberta-mlm-loss,medium,0,0.4897958953287956
88,"sex ironically has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler . but never mind all that ; the boobs are fantasti",-1,0.1518537253141403,roberta-mlm-loss,hard,0,0.6721372773123
91,the code talkers deserved better than a hollow tribute .,-1,0.0034239953383803,roberta-mlm-loss,easy,0,0.5232338058919074
92,skip the film and buy the philip glass soundtrack cd .,-1,0.8526046872138977,roberta-mlm-loss,hard,0,0.5563197550302617
93,feels like a cold old man going through the motions .,-1,0.0102215697988867,roberta-mlm-loss,medium,0,0.6787394619927498
94,dignified ceo's meet at a rustic retreat and pee against a tree . can you bear the laughter ?,-1,0.0060438592918217,roberta-mlm-loss,medium,0,0.6921052343749272
95,"dull and mechanical , kinda like a very goofy museum exhibit",-1,0.0657480582594871,roberta-mlm-loss,hard,0,0.642532103696196
97,beware the quirky brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental .,-1,0.0131908524781465,roberta-mlm-loss,medium,0,0.6243027096983904
98,has its moments -- and almost as many subplots .,-1,0.006431680638343,roberta-mlm-loss,medium,0,0.6923014827775364
100,completely awful iranian drama . . . as much fun as a grouchy ayatollah in a cold mosque .,-1,0.0103947538882493,roberta-mlm-loss,medium,0,0.6921293769778667
102,there's no point in extracting the bare bones of byatt's plot for purposes of bland hollywood romance .,-1,0.2282709628343582,roberta-mlm-loss,hard,0,0.6507927296530182
103,"directors john musker and ron clements , the team behind the little mermaid , have produced sparkling retina candy , but they aren't able to muster a lot of emotional resonance in the cold vacuum of space .",-1,0.2641733884811401,roberta-mlm-loss,hard,0,0.5690548149851251
105,"there's no doubting that this is a highly ambitious and personal project for egoyan , but it's also one that , next to his best work , feels clumsy and convoluted .",-1,0.2481764703989029,roberta-mlm-loss,hard,0,0.6908998845080183
106,"despite engaging offbeat touches , knockaround guys rarely seems interested in kicking around a raison d'etre that's as fresh-faced as its young-guns cast .",-1,0.343064546585083,roberta-mlm-loss,hard,0,0.5402400720642586
107,it's all pretty tame . the most offensive thing about the movie is that hollywood expects people to pay to see it .,-1,0.0047360146418213,roberta-mlm-loss,medium,0,0.6548392328308805
108,the movie is a mess from start to finish .,-1,0.0011163942981511,roberta-mlm-loss,easy,0,0.652075698748086
109,"the trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness .",-1,0.0039686830714344,roberta-mlm-loss,easy,0,0.6071579696507914
110,"i'm not saying that ice age doesn't have some fairly pretty pictures , but there's not enough substance in the story to actually give them life .",-1,0.0041094636544585,roberta-mlm-loss,easy,0,0.6709396752207732
112,"the plot is nothing but boilerplate clichs from start to finish , and the script assumes that not only would subtlety be lost on the target audience , but that it's also too stupid to realize that they've already seen this exact same movie a hundred times",-1,0.0020990839693695,roberta-mlm-loss,easy,0,0.6878303232502185
113,terminally brain dead production .,-1,0.993973433971405,roberta-mlm-loss,hard,0,0.5360825855163285
114,"some episodes work , some don't .",-1,0.0010845804354175,roberta-mlm-loss,easy,0,0.6926153274330668
115,beautifully filmed and well acted . . . but admittedly problematic in its narrative specifics .,-1,0.0048150811344385,roberta-mlm-loss,medium,0,0.6917359424679017
116,"j . lo will earn her share of the holiday box office pie , although this movie makes one thing perfectly clear : she's a pretty woman , but she's no working girl .",-1,0.0693800449371337,roberta-mlm-loss,hard,0,0.5036447580879282
117,"rymer doesn't trust laughs -- and doesn't conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects .",-1,0.4731274545192718,roberta-mlm-loss,hard,0,0.5116516333134461
118,"not only are the film's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this 'we're -doing-it-for -the-cash' sequel were .",-1,0.0026233450043946,roberta-mlm-loss,easy,0,0.5501903361974843
120,"off the hook is overlong and not well-acted , but credit writer-producer-director adam watstein with finishing it at all .",-1,0.5507416129112244,roberta-mlm-loss,hard,0,0.678231638417393
121,it's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .,-1,0.213000550866127,roberta-mlm-loss,hard,0,0.6927176162088151
122,"watching harris ham it up while physically and emotionally disintegrating over the course of the movie has a certain poignancy in light of his recent death , but boyd's film offers little else of consequence .",-1,0.0030534360557794,roberta-mlm-loss,easy,0,0.6929893244895389
124,"'ejemplo de una cinta en que no importa el talento de su reparto o lo interesante que pudo haber resultado su premisa , pues el resultado es francamente aburrido y , por momentos , deplorable . '",-1,0.1799137443304062,roberta-mlm-loss,hard,0,0.6578548516680902
125,will probably be one of those movies barely registering a blip on the radar screen of 2002 .,-1,0.0014920583926141,roberta-mlm-loss,easy,0,0.5201707123913286
