index,text,score,difficulty_score,difficulty_strategy,difficulty,fold
2,it is not a mass-market entertainment but an uncompromising attempt by one artist to think about another .,0,0.0303150191903114,roberta-mlm-loss,medium,0
4,"my wife is an actress has its moments in looking at the comic effects of jealousy . in the end , though , it is only mildly amusing when it could have been so much more .",0,0.0071724960580468,roberta-mlm-loss,medium,0
10,"the bland outweighs the nifty , and cletis tout never becomes the clever crime comedy it thinks it is .",0,0.07033471763134,roberta-mlm-loss,medium,0
13,"provides the kind of 'laugh therapy' i need from movie comedies -- offbeat humor , amusing characters , and a happy ending . after seeing 'analyze that , ' i feel better already .",0,0.0037379330024123,roberta-mlm-loss,easy,0
16,"despite these annoyances , the capable clayburgh and tambor really do a great job of anchoring the characters in the emotional realities of middle age .",0,0.1679935157299041,roberta-mlm-loss,hard,0
20,"si el siglo xxi necesita de hroes , el hombre araa parece haber llegado para quedarse .",0,0.4566664397716522,roberta-mlm-loss,hard,0
23,"writer/director walter hill is in his hypermasculine element here , once again able to inject some real vitality and even art into a pulpy concept that , in many other hands would be completely forgettable .",0,0.1891638189554214,roberta-mlm-loss,hard,0
28,"impostor doesn't do much with its template , despite a remarkably strong cast .",0,0.0042669367976486,roberta-mlm-loss,easy,0
32,a work that lacks both a purpose and a strong pulse .,0,0.0030461084097623,roberta-mlm-loss,easy,0
33,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,0,0.0469286441802978,roberta-mlm-loss,medium,0
36,"nair doesn't use [monsoon wedding] to lament the loss of culture . instead , she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions .",0,0.0380766317248344,roberta-mlm-loss,medium,0
38," . . . a joke at once flaky and resonant , lightweight and bizarrely original .",0,0.0366098880767822,roberta-mlm-loss,medium,0
39,"fontaine's direction , especially her agreeably startling use of close-ups and her grace with a moving camera , creates sheerly cinematic appeal .",0,0.2014251947402954,roberta-mlm-loss,hard,0
47,"waydowntown just like most large cities , isn't somewhere you'll want to spend the rest of your life , but it sure is a fun place to visit for a while .",0,0.1687886416912078,roberta-mlm-loss,hard,0
48,"the acting in pauline and paulette is good all round , but what really sets the film apart is debrauwer's refusal to push the easy emotional buttons .",0,0.1501830816268921,roberta-mlm-loss,hard,0
52,harland williams is so funny in drag he should consider permanent sex-reassignment .,0,0.0028021470643579,roberta-mlm-loss,easy,0
55,plotless collection of moronic stunts is by far the worst movie of the year .,0,0.0247943457216024,roberta-mlm-loss,medium,0
69,"if the story lacks bite , the performances are never less than affectionate .",0,0.0008409161237068,roberta-mlm-loss,easy,0
70,"a deftly entertaining film , smartly played and smartly directed .",0,0.0044494778849184,roberta-mlm-loss,easy,0
75,"both the film and nachtwey's photos hammer home the grim reality of the world's gutters and battlefields , and will make you question what 'news' really is .",0,0.0128729669377207,roberta-mlm-loss,medium,0
76,so relentlessly wholesome it made me want to swipe something .,0,0.0271095801144838,roberta-mlm-loss,medium,0
78,"that 'alabama' manages to be pleasant in spite of its predictability and occasional slowness is due primarily to the perkiness of witherspoon ( who is always a joy to watch , even when her material is not first-rate ) . . .",0,0.0177550744265317,roberta-mlm-loss,medium,0
80,nicely combines the enigmatic features of 'memento' with the hallucinatory drug culture of 'requiem for a dream . ',0,0.0303491353988647,roberta-mlm-loss,medium,0
85,"while holm is terrific as both men and hjejle quite appealing , the film fails to make the most out of the intriguing premise .",0,0.1189614310860633,roberta-mlm-loss,hard,0
86,"while hollywood ending has its share of belly laughs ( including a knockout of a closing line ) , the movie winds up feeling like a great missed opportunity .",0,0.0304759200662374,roberta-mlm-loss,medium,0
87,"ultimately , in the history of the academy , people may be wondering what all that jazz was about "" chicago "" in 2002 . zellweger's whiny pouty-lipped poof faced and spindly attempt at playing an ingenue makes her nomination as best actress even more of a an a",0,0.0509085431694984,roberta-mlm-loss,medium,0
93,the cumulative effect of the movie is repulsive and depressing .,0,0.0017729605315253,roberta-mlm-loss,easy,0
102,"confusion is one of my least favourite emotions , especially when i have to put up with 146 minutes of it .",0,0.0071969297714531,roberta-mlm-loss,medium,0
106,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience .",0,0.0003140862681902,roberta-mlm-loss,easy,0
108,it's too interested in jerking off in all its byzantine incarnations to bother pleasuring its audience .,0,0.0020940233953297,roberta-mlm-loss,easy,0
109,for a rapsploitation film to target and frown upon the darker forces of its nature is certainly a good sign for the maturation of the genre .,0,0.0228172913193702,roberta-mlm-loss,medium,0
110,"a movie that doesn't aim too high , but doesn't need to .",0,0.000465651624836,roberta-mlm-loss,easy,0
117,the plan to make enough into an inspiring tale of survival wrapped in the heart-pounding suspense of a stylish psychological thriller' has flopped as surely as a souffl gone wrong .,0,0.2939498424530029,roberta-mlm-loss,hard,0
122,this is an exercise not in biography but in hero worship .,0,0.00130750995595,roberta-mlm-loss,easy,0
126,"the writers , director wally wolodarsky , and all the actors should start their own coeducational fraternity : kappa rho alpha phi .",0,0.0235437415540218,roberta-mlm-loss,medium,0
127,"like its title character , this nicholas nickleby finds itself in reduced circumstances -- and , also like its hero , it remains brightly optimistic , coming through in the end .",0,0.0693072006106376,roberta-mlm-loss,medium,0
132,"an unsatisfying hybrid of blair witch and typical stalk-and-slash fare , where the most conservative protagonist is always the last one living .",0,0.1677199751138687,roberta-mlm-loss,hard,0
138,the movie fails to portray its literarily talented and notorious subject as anything much more than a dirty old man .,0,0.0063160597346723,roberta-mlm-loss,medium,0
141,scott delivers a terrific performance in this fascinating portrait of a modern lothario .,0,0.0022326565813273,roberta-mlm-loss,easy,0
143,automatically pegs itself for the straight-to-video sci-fi rental shelf .,0,0.0017357347533106,roberta-mlm-loss,easy,0
144,part of the film's cheeky charm comes from its vintage schmaltz .,0,0.0022606821730732,roberta-mlm-loss,easy,0
145,a very funny look at how another culture handles the process of courting and marriage .,0,0.0007681458373554,roberta-mlm-loss,easy,0
150,"with spy kids 2 : the island of lost dreams , the spy kids franchise establishes itself as a durable part of the movie landscape : a james bond series for kids .",0,0.1744932532310485,roberta-mlm-loss,hard,0
154,a moving and weighty depiction of one family's attempts to heal after the death of a child .,0,0.0004409266111906,roberta-mlm-loss,easy,0
157,"la cinta comienza intentando ser un drama , rpidamente se transforma en una comedia y termina por ser una parodia absolutamente predecible",0,0.2479259818792343,roberta-mlm-loss,hard,0
158,"watching the chemistry between freeman and judd , however , almost makes this movie worth seeing . almost .",0,0.0268803294748067,roberta-mlm-loss,medium,0
160,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going .,0,0.0014219597214832,roberta-mlm-loss,easy,0
163,"a heartfelt , understated and occasionally heavy-handed slice of heartland .",0,0.0007131139282137,roberta-mlm-loss,easy,0
172,"not the kind of film that will appeal to a mainstream american audience , but there is a certain charm about the film that makes it a suitable entry into the fest circuit .",0,0.1042636632919311,roberta-mlm-loss,hard,0
177,"neither the funniest film that eddie murphy nor robert de niro has ever made , showtime is nevertheless efficiently amusing for a good while . before it collapses into exactly the kind of buddy cop comedy it set out to lampoon , anyway .",0,0.096011534333229,roberta-mlm-loss,hard,0
179,"any chekhov is better than no chekhov , but it would be a shame if this was your introduction to one of the greatest plays of the last 100 years .",0,0.0460583567619323,roberta-mlm-loss,medium,0
181,"niccol the filmmaker merges his collaborators' symbolic images with his words , insinuating , for example , that in hollywood , only god speaks to the press",0,0.4027206897735595,roberta-mlm-loss,hard,0
185,"this 72-minute film does have some exciting scenes , but it's a tad slow .",0,0.0019249697215855,roberta-mlm-loss,easy,0
187,"mr . jacobi's recitation is illustrated with a rush of sensuous nature imagery , beautifully photographed by mr . cox and hans sonneveld and underscored with a lush soundtrack by paul grabowsky .",0,0.3076618015766144,roberta-mlm-loss,hard,0
192,it all drags on so interminably it's like watching a miserable relationship unfold in real time .,0,0.0011284073116257,roberta-mlm-loss,easy,0
193,"reminiscent of david mamet's elaborate screen bluffs -- only livelier , more playful .",0,0.005737560801208,roberta-mlm-loss,medium,0
196,provides a very moving and revelatory footnote to the holocaust .,0,0.0010052844882011,roberta-mlm-loss,easy,0
199,"minority report is exactly what the title indicates , a report .",0,0.0023161857388913,roberta-mlm-loss,easy,0
