index,text,score,fold
4,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one . ",1,0
17,a masterpiece four years in the making . ,1,0
19,offers a breath of the fresh air of true sophistication . ,1,0
21,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives . ",1,0
27,an idealistic love story that brings out the latent 15-year-old romantic in everyone . ,1,0
28,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts . ",1,0
32,"light , cute and forgettable . ",1,0
34,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy . ",1,0
42,fuller would surely have called this gutsy and at times exhilarating movie a great yarn . ,1,0
44,the film makes a strong case for the importance of the musicians in creating the motown sound . ,1,0
47,"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know . ",1,0
52,some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors . ,1,0
60,"a pleasant enough movie , held together by skilled ensemble actors . ",1,0
70,"a taut , intelligent psychological drama . ",1,0
78,haneke challenges us to confront the reality of sexual aberration . ,1,0
89,a sports movie with action that's exciting on the field and a story you care about off it . ,1,0
90,"doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie's spycraft and uses damon's ability to be focused and sincere . ",1,0
92,"katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of meeropol entertaining his children to create his song history , but most powerful of all is the song itself",1,0
94,while mcfarlane's animation lifts the film firmly above the level of other coming-of-age films . . . it's also so jarring that it's hard to get back into the boys' story . ,1,0
108,the film is often filled with a sense of pure wonderment and excitement not often seen in today's cinema du sarcasm,1,0
118,"a gentle , compassionate drama about grief and healing . ",1,0
120,digital-video documentary about stand-up comedians is a great glimpse into a very different world . ,1,0
124,you should pay nine bucks for this : because you can hear about suffering afghan refugees on the news and still be unaffected . dramas like this make it human . ,1,0
128,a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done . ,1,0
133,"[schweiger is] talented and terribly charismatic , qualities essential to both movie stars and social anarchists . ",1,0
134,it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious . ,1,0
135,an original gem about an obsession with time . ,1,0
136,it will delight newcomers to the story and those who know it from bygone days . ,1,0
139,"if your senses haven't been dulled by slasher films and gorefests , if you're a connoisseur of psychological horror , this is your ticket . ",1,0
143,"like mike doesn't win any points for originality . it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism . ",1,0
145,"far from perfect , but its heart is in the right place . . . innocent and well-meaning . ",1,0
150,"enormously likable , partly because it is aware of its own grasp of the absurd . ",1,0
173,rare is the 'urban comedy' that even attempts the insight and honesty of this disarming indie . ,1,0
175,engagingly captures the maddening and magnetic ebb and flow of friendship . ,1,0
185,"one of the best , most understated performances of [jack nicholson's] career . ",1,0
191,a fascinating and fun film . ,1,0
196, . . . there are enough moments of heartbreaking honesty to keep one glued to the screen . ,1,0
198,"a smart , sweet and playful romantic comedy . ",1,0
203,it is interesting and fun to see goodall and her chimpanzees on the bigger-than-life screen . ,1,0
209,"[drumline] is entertaining for what it does , and admirable for what it doesn't do . ",1,0
211,"[a] rare , beautiful film . ",1,0
221,the dangerous lives of altar boys' take on adolescence feels painfully true . ,1,0
224,"an absorbing , slice-of-depression life that touches nerves and rings true . ",1,0
226,the result is something quite fresh and delightful . ,1,0
231,polished korean political-action film is just as good -- and bad -- as hollywood action epics . is this progress ? ,1,0
249,"just what makes us happy , anyway ? ",1,0
250,"a thoughtful , moving piece that faces difficult issues with honesty and beauty . ",1,0
252,"you wouldn't call the good girl a date movie ( an anti-date movie is more like it ) , but when it's good , it's good and horrid . ",1,0
258,a well-made and often lovely depiction of the mysteries of friendship . ,1,0
271,"parker holds true to wilde's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness . ",1,0
276,"the film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply sublime . ",1,0
277,"there are a few stabs at absurdist comedy . . . but mostly the humor is of the sweet , gentle and occasionally cloying kind that has become an iranian specialty . ",1,0
278,a wonderful character-based comedy . ,1,0
281,"the unique tug-of-war with viewer expectations is undeniable , if not a pleasure in its own right . ",1,0
283,it's almost impossible not to be moved by the movie's depiction of sacrifice and its stirring epilogue in post-soviet russia . ,1,0
285,"the tone is balanced , reflective and reasonable . ",1,0
298,this clever caper movie has twists worthy of david mamet and is enormous fun for thinking audiences . ,1,0
299,it's one of the saddest films i have ever seen that still manages to be uplifting but not overly sentimental . ,1,0
302,"i don't know precisely what to make of steven soderbergh's full frontal , though that didn't stop me from enjoying much of it . ",1,0
305,"you could say that it's slow at times , you could say that a few of the characters act in ways that real people wouldn't , but one thing you couldn't say is that alias betty is predictable . ",1,0
309,"high on melodrama . but it's emotionally engrossing , too , thanks to strong , credible performances from the whole cast . ",1,0
312,"spielberg is the rare director who does not want to invite viewers to gawk at or applaud his special effects . he just wants them to be part of the action , the wallpaper of his chosen reality . here , thankfully , they are . ",1,0
313,"post 9/11 the philosophical message of "" personal freedom first "" might not be as palatable as intended . ",1,0
314,"hu and liu offer natural , matter-of-fact performances that glint with sorrow , longing and love . ",1,0
320,"clever , brutal and strangely soulful movie . ",1,0
323,will grab your children by the imagination and amaze them and amuse them . ,1,0
325,"those who would follow haneke on his creepy explorations . . . are rewarded by brutal , committed performances from huppert and magimel . ",1,0
329,"this is such a high-energy movie where the drumming and the marching are so excellent , who cares if the story's a little weak . ",1,0
331,"it's amazingly perceptive in its subtle , supportive but unsentimental look at the marks family . ",1,0
336,"the pianist is a fine valedictory work for polanski , made richer by his own experiences , making his other movies somehow richer in the bargain . ",1,0
342,bennett's dramatization of her personal descent into post-breakup perdition has a morbid appeal that's tough to shake . ,1,0
352,"boisterous , heartfelt comedy . ",1,0
355,absorbing character study by andré turpin . ,1,0
356,"celebrated at sundance , this slight comedy of manners has winning performances and a glossy , glib charm that's hard to beat . ",1,0
360,"though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance . ",1,0
361,energetic and boldly provocative . ,1,0
363,it's a movie -- and an album -- you won't want to miss . ,1,0
367,jacquot's tosca is a treat . ,1,0
369,"if you liked such movies as notting hill , four weddings and a funeral , bridget jones' diary or high fidelity , then you won't want to miss about a boy . ",1,0
375,"although it bangs a very cliched drum at times , this crowd-pleaser's fresh dialogue , energetic music , and good-natured spunk are often infectious . ",1,0
386,"ana is a vivid , vibrant individual and the movie's focus upon her makes it successful and accessible . ",1,0
389,[anderson] uses a hit-or-miss aesthetic that hits often enough to keep the film entertaining even if none of it makes a lick of sense . ,1,0
392,bullock does a good job here of working against her natural likability . ,1,0
395,"the best movie of its kind since 'brazil . ' lucas , take notes . this is how you use special effects . ",1,0
398,kaufman creates an eerie sense of not only being there at the time of these events but the very night matthew was killed . ,1,0
405,"it's a humble effort , but spiced with wry humor and genuine pathos , especially between morgan and redgrave . ",1,0
407,"dark and disturbing , but also surprisingly funny . ",1,0
408,the movie has an avalanche of eye-popping visual effects . ,1,0
409,"starts off with a bang , but then fizzles like a wet stick of dynamite at the very end . it's still worth a look . ",1,0
417,"long after you leave justine , you'll be wondering what will happen to her and wishing her the best -- whatever that might mean . ",1,0
428,there are moments it can be heart-rending in an honest and unaffected ( and gentle ) way . ,1,0
431,"the sundance film festival has become so buzz-obsessed that fans and producers descend upon utah each january to ferret out the next great thing . 'tadpole' was one of the films so declared this year , but it's really more of the next pretty good thing . ",1,0
437,the actors are fantastic . they are what makes it worth the trip to the theatre . ,1,0
440,recalls quiet freak-outs like l'avventura and repulsion . ,1,0
447,"jason x has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor makes up for a lot . ",1,0
451,"it sounds sick and twisted , but the miracle of shainberg's film is that it truly is romance",1,0
452,disturbing and brilliant documentary . ,1,0
463,an exhilarating experience . ,1,0
466,"the film is exhilarating to watch because sandler , liberated from the constraints of formula , reveals unexpected depths as an actor . ",1,0
474,maguire is a surprisingly effective peter/spider-man . ,1,0
475,"not a cozy or ingratiating work , but it's challenging , sometimes clever , and always interesting , and those are reasons enough to see it . ",1,0
484,"elling really is about a couple of crazy guys , and it's therapeutic to laugh along with them . ",1,0
487,there's no denying the physically spectacular qualities of the film . . . or the emotional integrity of the performances . ,1,0
492,this is a very fine movie -- go see it . ,1,0
498,a sensitive and expertly acted crowd-pleaser that isn't above a little broad comedy and a few unabashedly sentimental tears . ,1,0
500,"does what a fine documentary does best : it extends a warm invitation into an unfamiliar world , then illuminates it fully and allows the larger implications of the journey to sink in unobtrusively . ",1,0
502,a psychologically rich and suspenseful moral thriller with a stellar performance by al pacino . ,1,0
509,the saturation bombing of reggio's images and glass' evocative music . . . ultimately leaves viewers with the task of divining meaning . ,1,0
514,"a lighthearted , feel-good film that embraces the time-honored truth that the most powerful thing in life is love . ",1,0
515,"a bowel-curdling , heart-stopping recipe for terror . ",1,0
519,"' . . . both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '",1,0
527,a pro-fat farce that overcomes much of its excessive moral baggage thanks to two appealing lead performances . ,1,0
531,effectively feeds our senses with the chilling sights and sounds from within the camp to create a completely numbing experience . ,1,0
541,an ironic speculation on democracy in a culture unaccustomed to it . ,1,0
545,"led by griffin's smartly nuanced performance and enthusiasm , the cast has a lot of fun with the material . ",1,0
561,"divine secrets of the ya-ya sisterhood may not be exactly divine , but it's definitely -- defiantly -- ya ya , what with all of those terrific songs and spirited performances . ",1,0
569,"[gai] comes closer to any actress i can remember to personifying independence in its purest and , yes , most intimidating form . ",1,0
572,a moody horror/thriller elevated by deft staging and the director's well-known narrative gamesmanship . ,1,0
573,"as a singular character study , it's perfect . it's also the year's sweetest movie . ",1,0
575,"while not as aggressively impressive as its american counterpart , "" in the bedroom , "" moretti's film makes its own , quieter observations",1,0
579,haynes has so fanatically fetishized every bizarre old-movie idiosyncrasy with such monastic devotion you're not sure if you should applaud or look into having him committed . ,1,0
585,this version incarnates the prophetic book in a way even its exacting author might admire . ,1,0
