index,text,score,difficulty_score,difficulty_strategy,difficulty,fold
0,I want togo home :(,-1,0.2603725492954254,roberta-mlm-loss,hard,0
1,i can feel that my dark eye rings are getting darker and darker now. i mean processing right now! argh :(,-1,0.4860814809799194,roberta-mlm-loss,hard,0
3,sitting next cute little toddlers on the subway always puts me in a good mood...but now I miss my niece and nephews :(,-1,0.1251522451639175,roberta-mlm-loss,medium,0
5,Haha! That's funy!!!! :) RT @melsie75: @jordanknight YAY! I feel like I just experienced the second coming of Jesus!!!!!,1,0.0187793001532554,roberta-mlm-loss,easy,0
10,@MattchewCorpuz because I always mess this up :(,-1,0.2819190621376037,roberta-mlm-loss,hard,0
14,@kuuipo1207 are their pigments good??? i dont have any occ stuff yet :(,-1,0.754766047000885,roberta-mlm-loss,hard,0
17,@Funkyheff I have no marketable skills. :(,-1,0.0043427692726254,roberta-mlm-loss,easy,0
21,I hate being sick its gay. :(,-1,0.1371072679758072,roberta-mlm-loss,medium,0
28,"SERIOUSLY wishing I wasn't at work right now. I just want bed, The Smiths, strawberries and sleep :(",-1,0.0112591190263628,roberta-mlm-loss,easy,0
29,Its depressing to watch my bank account get smaller and never bigger:( I need to get a job soon!,-1,0.9048011302947998,roberta-mlm-loss,hard,0
31,"airport tomorrow morning, can't wait, i get to see my japanese host student, i miss her! :(",-1,0.0362987741827964,roberta-mlm-loss,medium,0
33,"@EmmaLBishop Usually by this point I'm feeling slightly more human, but I feel the same, I just wanna stop shaking :(",-1,0.030909052118659,roberta-mlm-loss,medium,0
35,I'm at the Cinemar *all by myselfffffff*. I miss you :( x,-1,0.5338576436042786,roberta-mlm-loss,hard,0
38,I think my tummy is talking.. ):,-1,0.9864437580108644,roberta-mlm-loss,hard,0
40,@oritsuru I can't play the PS2 ones on my PS3 'cause i only got it in February :(,-1,0.0188557300716638,roberta-mlm-loss,easy,0
41,I think i have a sleeping disorder :(,-1,0.0027465454768389,roberta-mlm-loss,easy,0
42,Just realized I haven't ridden motorcycle in weeks :(,-1,0.0229713581502437,roberta-mlm-loss,easy,0
43,@mitchy1441 Chocolate & Cheesecake? Hmmm..Just don't let him try to gargle the peanut butter...I've tried...It just didn't work out :(,-1,0.004024073947221,roberta-mlm-loss,easy,0
48,@essteeyou Can't really. Will tough it out but cancelled on Chloe. Can't bear the thought of sniffling and feeling shitty through a film :(,-1,0.153781846165657,roberta-mlm-loss,medium,0
51,"@ririardana i'd love to! but my budget is not enough, i'm using ma own money! :(",-1,0.133939117193222,roberta-mlm-loss,medium,0
53,@kentruff I can't help the way I look :( LOL,1,0.004761375952512,roberta-mlm-loss,easy,0
55,ughh...tummy hurts :( on a better note the America's Most Wanted Tour=2morrow then Cedar Point is on Friday <3,-1,0.191368356347084,roberta-mlm-loss,medium,0
60,"@tommcfly please say hello to my, i need this, make me happy today xxxx eu te amo ): 11",-1,0.5375118851661682,roberta-mlm-loss,hard,0
65,"I thought grammar should matter whenever/however you communicate? I know, there are so many now who don't use it. :( @ButtercupD",-1,0.0764953196048736,roberta-mlm-loss,medium,0
66,I can't get out of bed :(,-1,0.0001243524893652,roberta-mlm-loss,easy,0
75,I also have a headache @KateCooperOwen and have also just been sick at work :(,-1,0.0012501714518293,roberta-mlm-loss,easy,0
76,Technology hates me. Third time this week i gotta take my laptop to the techs >:(,-1,0.1587204784154892,roberta-mlm-loss,medium,0
79,@guido38 I had to get rid of the pupp:(,-1,1.4400811195373535,roberta-mlm-loss,hard,0
82,"@deepNdistant I didn't see ANYTHING, and I was out at midnight and again at 4...:(",-1,0.123015820980072,roberta-mlm-loss,medium,0
87,& 4:03 A.M. is not a good time to be crying :( I should be asleep,-1,0.0173745602369308,roberta-mlm-loss,easy,0
90,"@DebbieFletcher and you'll come to Brazil with the money you win. We want you in Brazil Debbie, here's so cool, ask for tom ):",1,0.6113006472587585,roberta-mlm-loss,hard,0
91,around missing my baby :(,-1,2.192089319229126,roberta-mlm-loss,hard,0
92,"need my sunshine with me, here :(",-1,0.0154265528544783,roberta-mlm-loss,easy,0
94,going to take a shower; then fix some pizza . i miss my baby :( . texttt or call if you need me .,-1,0.6619399785995483,roberta-mlm-loss,hard,0
98,just realized I left my coffee in my car. have to run out and get it on break :(,-1,0.0081596653908491,roberta-mlm-loss,easy,0
99,@janemcmurry unfortunately he doesn't :( i might clone and sell him. you'd like his LOST halloween costume too--daniel faraday.,-1,0.2362548261880874,roberta-mlm-loss,hard,0
101,"First time cycling to work on consecutive days - heavy legs :-(. Also, yoghurt and raspberries do not = enough to cycle on",-1,0.2155839651823043,roberta-mlm-loss,hard,0
103,Hate being I'll at weekends...all my plans are out the window for soup and a sofa :-(,-1,0.0699484199285507,roberta-mlm-loss,medium,0
104,"It would be AWESOME if the wedding I'm in could be like this (sadly, it really won't): http://bit.ly/29W0C0",-1,0.0003649113059509,roberta-mlm-loss,easy,0
105,"That would make a funny T-shirt! RT @thebeadgirl: changing my name to ""dad""",1,0.0003558218304533,roberta-mlm-loss,easy,0
107,I've got Missy Higgins songs stuck in my head :(,-1,0.0003525356296449,roberta-mlm-loss,easy,0
108,@Bobby_Dore15 YEAH :( i dont even have the energy to think anymore.,-1,0.0045913499779999,roberta-mlm-loss,easy,0
109,"i miss my holidays like mad already, :(",-1,0.0002994565584231,roberta-mlm-loss,easy,0
110,there are so many films i haven't seen yet. :(,-1,0.001014381297864,roberta-mlm-loss,easy,0
115,God damn it. I want a fucking game night. I WANT TO PLAY ZE BOARD GAMES!,-1,0.0110930763185024,roberta-mlm-loss,easy,0
119,RT @isotopp: LOL @ http://twitpic.com/bcceq,1,0.1493192464113235,roberta-mlm-loss,medium,0
120,"@_yoyo I still dunno what I would put on it! lol... So far it would consist of pics & that's what flickrs for! But I like the name, I think.",1,0.5907087326049805,roberta-mlm-loss,hard,0
121,"@MaggaGyal loo, well then you had better grab some grub then. I love Zsa Zsa Gabor. So classy and stylish.",1,0.1053781658411026,roberta-mlm-loss,medium,0
122,"badmood badmood badmood -_- idk why, bcause I'm hungry or because bad hair daaay.",-1,0.1382902562618255,roberta-mlm-loss,medium,0
123,I can celebrate now... RT @smojica: Dropbox the iPhone app has dropped http://tinyurl.com/yko4dzg,1,0.3957038223743438,roberta-mlm-loss,hard,0
128,@AmieyAcula rednecks don't like our kind... LoL,1,0.0680631771683693,roberta-mlm-loss,medium,0
