index,text,score,difficulty_score,difficulty_strategy,difficulty,fold
290,"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .",-1,0.006152304355055,roberta-mlm-loss,medium,0
440,crikey indeed .,-1,0.0611618533730506,roberta-mlm-loss,hard,0
4336,degenerates into hogwash .,-1,0.0006022658781148,roberta-mlm-loss,easy,0
5351,"a thoughtful , provocative , insistently humanizing film .",1,0.0047759632579982,roberta-mlm-loss,medium,0
5513,a very funny movie .,1,0.0004651647177524,roberta-mlm-loss,easy,0
5560,this is one of polanski's best films .,1,0.7224682569503784,roberta-mlm-loss,hard,0
5600,it's solid and affecting and exactly as thought-provoking as it should be .,1,0.0056763170287013,roberta-mlm-loss,medium,0
5738,"dark and disturbing , but also surprisingly funny .",1,0.0044597713276743,roberta-mlm-loss,medium,0
5767,[an] hilarious romantic comedy .,1,0.0022622249089181,roberta-mlm-loss,easy,0
5794,an exhilarating experience .,1,0.0005602579331025,roberta-mlm-loss,easy,0
5850,a pleasant romantic comedy .,1,0.0032499697990715,roberta-mlm-loss,easy,0
5884,"for all its failed connections , divine secrets of the ya-ya sisterhood is nurturing , in a gauzy , dithering way .",1,0.2413082420825958,roberta-mlm-loss,hard,0
5891,"divine secrets of the ya-ya sisterhood may not be exactly divine , but it's definitely -- defiantly -- ya ya , what with all of those terrific songs and spirited performances .",1,0.0254498813301324,roberta-mlm-loss,medium,0
5929,a pleasant enough comedy that should have found a summer place .,1,0.0013161088572815,roberta-mlm-loss,easy,0
5942,ice cube holds the film together with an engaging and warm performance . . .,1,0.622735857963562,roberta-mlm-loss,hard,0
5946,it's a masterpiece .,1,0.0006908088689669,roberta-mlm-loss,easy,0
6047,"hilarious , touching and wonderfully dyspeptic .",1,0.0008951273048296,roberta-mlm-loss,easy,0
6127,"thoughtful , provocative and entertaining .",1,0.0018935248954221,roberta-mlm-loss,easy,0
6135,often hilarious .,1,0.0185108762234449,roberta-mlm-loss,medium,0
6171,everywhere the camera looks there is something worth seeing .,1,0.002849161857739,roberta-mlm-loss,easy,0
6235,invincible is a wonderful movie .,1,0.0028744654264301,roberta-mlm-loss,easy,0
