index,text,score,difficulty_score,difficulty_strategy,difficulty,fold
2,Effective but too tepid biopic,-1,0.0004486735560931,roberta-mlm-loss,easy,0
4,"Emerges as something rare, an issue movie that's so honest and keenly observed that it doesn't feel like one.",1,0.3356748521327972,roberta-mlm-loss,hard,0
16,Illuminating if overly talky documentary.,1,0.0022701427806168,roberta-mlm-loss,medium,0
17,A masterpiece four years in the making.,1,0.0010460650082677,roberta-mlm-loss,easy,0
19,Offers a breath of the fresh air of true sophistication.,1,0.000975024420768,roberta-mlm-loss,easy,0
22,A disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by Philip Glass.,1,0.0006415236857719,roberta-mlm-loss,easy,0
23,"Not for everyone, but for those with whom it will connect, it's a nice departure from standard moviegoing fare.",1,0.0005755976308137,roberta-mlm-loss,easy,0
33,"While it would be easy to give Crush the new title of Two Weddings and a Funeral, it's a far more thoughtful film than any slice of Hugh Grant whimsy.",1,0.2785215973854065,roberta-mlm-loss,hard,0
56,You'd think by now America would have had enough of plucky British eccentrics with hearts of gold. Yet the act is still charming here.,1,0.0036538217682391,roberta-mlm-loss,medium,0
58,"A pleasant enough movie, held together by skilled ensemble actors.",1,0.0005282942438498,roberta-mlm-loss,easy,0
66,Son of the Bride may be a good half hour too long but comes replete with a flattering sense of mystery and quietness.,1,0.0217156540602445,roberta-mlm-loss,hard,0
75,Haneke challenges us to confront the reality of sexual aberration.,1,0.0022513910662382,roberta-mlm-loss,medium,0
86,The tenderness of the piece is still intact.,1,0.0002352031588088,roberta-mlm-loss,easy,0
92,Writer director Burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear.,1,0.1851075440645218,roberta-mlm-loss,hard,0
93,...a roller coaster ride of a movie,1,0.0009408104233443,roberta-mlm-loss,easy,0
105,A feel good picture in the best sense of the term.,1,0.0069410069845616,roberta-mlm-loss,medium,0
110,"In scope, ambition and accomplishment, Children of the Century ... takes Kurys' career to a whole new level.",1,0.0147981122136116,roberta-mlm-loss,hard,0
116,"Unlike most teen flicks, Swimming takes its time to tell its story, casts mostly little known performers in key roles, and introduces some intriguing ambiguity.",1,0.0033563855104148,roberta-mlm-loss,medium,0
118,"''Extreme Ops'' exceeds expectations. Good fun, good action, good acting, good dialogue, good pace, good cinematography.",1,0.039191611111164,roberta-mlm-loss,hard,0
124,"It is nature against progress. In Fessenden's horror trilogy, this theme has proved important to him and is especially so in the finale.",1,0.002212970284745,roberta-mlm-loss,medium,0
125,"It's not exactly a gourmet meal but the fare is fair, even coming from the drive thru.",1,0.0015750066377222,roberta-mlm-loss,medium,0
128,"(Schweiger is) talented and terribly charismatic, qualities essential to both movie stars and social anarchists.",1,0.0128225367516279,roberta-mlm-loss,medium,0
129,It's a great deal of sizzle and very little steak. But what spectacular sizzle it is!...In this incarnation its fizz is infectious.,1,0.0287052597850561,roberta-mlm-loss,hard,0
130,An original gem about an obsession with time.,1,0.0102408332750201,roberta-mlm-loss,medium,0
131,It will delight newcomers to the story and those who know it from bygone days.,1,0.0001396102597936,roberta-mlm-loss,easy,0
132,Gloriously goofy (and gory) midnight movie stuff.,1,0.0013233555946499,roberta-mlm-loss,easy,0
141,"A sad, superior human comedy played out on the back roads of life.",1,0.385651022195816,roberta-mlm-loss,hard,0
142,"Waydowntown is by no means a perfect film, but its boasts a huge charm factor and smacks of originality.",1,0.0075504062697291,roberta-mlm-loss,medium,0
143,"Tim Allen is great in his role but never hogs the scenes from his fellow cast, as there are plenty of laughs and good lines for everyone in this comedy.",1,0.0022243214771151,roberta-mlm-loss,medium,0
146,"Here's a British flick gleefully unconcerned with plausibility, yet just as determined to entertain you.",1,0.0011376226320862,roberta-mlm-loss,easy,0
152,Fans of Behan's work and of Irish movies in general will be rewarded by Borstal Boy.,1,0.0049078548327088,roberta-mlm-loss,medium,0
159,A well made thriller with a certain level of intelligence and non reactionary morality.,1,0.0028208806179463,roberta-mlm-loss,medium,0
