index,text,score,difficulty_score,difficulty_strategy,dificulty
0,I want togo home :(,-1,0.2603725492954254,roberta-mlm-loss,hard
1,i can feel that my dark eye rings are getting darker and darker now. i mean processing right now! argh :(,-1,0.48608148097991943,roberta-mlm-loss,hard
2,@JasonM314 WOW! Nice one on the not smoking!!! I am too addicted to quit! :-(,-1,0.31367525458335876,roberta-mlm-loss,hard
3,sitting next cute little toddlers on the subway always puts me in a good mood...but now I miss my niece and nephews :(,-1,0.12515224516391754,roberta-mlm-loss,medium
4,Solved the multitasking and battery dilemma of iPhones by putting a SIM in my 3G and using it in parallel with my 3GS(syncs via MobileMe):-P,1,0.008119826205074787,roberta-mlm-loss,easy
5,Haha! That's funy!!!! :) RT @melsie75: @jordanknight YAY! I feel like I just experienced the second coming of Jesus!!!!!,1,0.018779300153255463,roberta-mlm-loss,easy
6,Photo: (via fuckyeahhappy) awwwww :ÕDDD http://tumblr.com/xue2tnt0q,1,0.18413075804710388,roberta-mlm-loss,medium
7,"I think my scalp is sunburned :( Interesting, considering I haven't been outside today. Fucking bull if you ask me....OWWWIEEE",-1,0.11888018250465393,roberta-mlm-loss,medium
8,http://twitpic.com/c2j19 - The Blender at Gramercy on a sad sad day :(,-1,0.08386711031198502,roberta-mlm-loss,medium
9,"Not @ school :(, cause I'm sick -- for rillz. :| I can't believe it either",-1,0.02571382187306881,roberta-mlm-loss,medium
10,@MattchewCorpuz because I always mess this up :(,-1,0.28191906213760376,roberta-mlm-loss,hard
11,HAPPY TIME // Tim Buckley ft Danny Thompson on bass: http://bit.ly/16wa8 - DT shed a tear showing me this the other day :(,-1,0.2576485276222229,roberta-mlm-loss,hard
12,Shit. Forget to restore dorry's food when i go out. :( so guilty now! :(,-1,0.5749542117118835,roberta-mlm-loss,hard
13,"Just dropped Alicia off at the airport-- what to do with myself until Sunday? Oh ya, homework..... :(",-1,0.013692843727767467,roberta-mlm-loss,easy
