index,text,score,difficulty_score,difficulty_strategy,difficulty,fold,entropy
0,I want togo home :(,-1,0.2603725492954254,roberta-mlm-loss,hard,0,0.6892849495177986
1,i can feel that my dark eye rings are getting darker and darker now. i mean processing right now! argh :(,-1,0.4860814809799194,roberta-mlm-loss,hard,0,0.680629523690004
2,@JasonM314 WOW! Nice one on the not smoking!!! I am too addicted to quit! :-(,-1,0.3136752545833587,roberta-mlm-loss,hard,0,0.6802813960624917
3,sitting next cute little toddlers on the subway always puts me in a good mood...but now I miss my niece and nephews :(,-1,0.1251522451639175,roberta-mlm-loss,medium,0,0.6918470794375677
5,Haha! That's funy!!!! :) RT @melsie75: @jordanknight YAY! I feel like I just experienced the second coming of Jesus!!!!!,1,0.0187793001532554,roberta-mlm-loss,easy,0,0.6730488518857307
6,Photo: (via fuckyeahhappy) awwwww :ÕDDD http://tumblr.com/xue2tnt0q,1,0.1841307580471038,roberta-mlm-loss,medium,0,0.6799957610751228
8,http://twitpic.com/c2j19 - The Blender at Gramercy on a sad sad day :(,-1,0.083867110311985,roberta-mlm-loss,medium,0,0.691327757297981
12,Shit. Forget to restore dorry's food when i go out. :( so guilty now! :(,-1,0.5749542117118835,roberta-mlm-loss,hard,0,0.6920487967380002
14,@kuuipo1207 are their pigments good??? i dont have any occ stuff yet :(,-1,0.754766047000885,roberta-mlm-loss,hard,0,0.6911532472137719
16,and i never see you on my online friends :(,-1,0.0029870835132896,roberta-mlm-loss,easy,0,0.6659558641392529
17,@Funkyheff I have no marketable skills. :(,-1,0.0043427692726254,roberta-mlm-loss,easy,0,0.6919326778120707
18,RT LOVE IT!!.LeeConti #bb10 I expect there to be a massive reduction in new born babies named Beatrice for a number of years to come..,1,0.3747215270996094,roberta-mlm-loss,hard,0,0.628120549755089
20,on bebo and i have no more love to giv out :(,-1,0.0123040089383721,roberta-mlm-loss,easy,0,0.6909882014824518
21,I hate being sick its gay. :(,-1,0.1371072679758072,roberta-mlm-loss,medium,0,0.6918663534026815
23,"no more allowance, damn red mango! damn tattoo.:( how will i eat?",-1,0.2220083475112915,roberta-mlm-loss,hard,0,0.6886935535548038
24,Dude i seriously feel bad and sad for that lady who got the swine flu shot and triggered something to fuck her up :( whos heard bout this?,-1,0.1943431347608566,roberta-mlm-loss,medium,0,0.6898342322494615
29,Its depressing to watch my bank account get smaller and never bigger:( I need to get a job soon!,-1,0.9048011302947998,roberta-mlm-loss,hard,0,0.6909528434025558
31,"airport tomorrow morning, can't wait, i get to see my japanese host student, i miss her! :(",-1,0.0362987741827964,roberta-mlm-loss,medium,0,0.6872398680683769
33,"@EmmaLBishop Usually by this point I'm feeling slightly more human, but I feel the same, I just wanna stop shaking :(",-1,0.030909052118659,roberta-mlm-loss,medium,0,0.6904230520809291
34,what do i have to do? .......... :(,-1,0.7869851589202881,roberta-mlm-loss,hard,0,0.691365843728635
36,Wow! Got transferred to a specialist and found out I got a wisdom tooth :( wtf! Fml,-1,0.1215746030211448,roberta-mlm-loss,medium,0,0.693130436227269
37,(860): Oh my god. Oh my god. Oh my god. I drunk emailed a professor on friday. Oh my god. Oh my god.,-1,0.6335523128509521,roberta-mlm-loss,hard,0,0.6926166157009555
38,I think my tummy is talking.. ):,-1,0.9864437580108644,roberta-mlm-loss,hard,0,0.6931413074013228
40,@oritsuru I can't play the PS2 ones on my PS3 'cause i only got it in February :(,-1,0.0188557300716638,roberta-mlm-loss,easy,0,0.6930267169375173
41,I think i have a sleeping disorder :(,-1,0.0027465454768389,roberta-mlm-loss,easy,0,0.6929143486274438
43,@mitchy1441 Chocolate & Cheesecake? Hmmm..Just don't let him try to gargle the peanut butter...I've tried...It just didn't work out :(,-1,0.004024073947221,roberta-mlm-loss,easy,0,0.693024083650147
45,"says HAPPY FRIDAY!! I want to drown my motorcycle problems with yarn, however, I spent too much on parts. :(... http://plurk.com/p/1d0o64",-1,0.0170397814363241,roberta-mlm-loss,easy,0,0.6900534351806721
50,"@happyhwife yeah, I think you will miss it. it makes me sad how fast he's growing up! :(",-1,0.0654548481106758,roberta-mlm-loss,medium,0,0.682567769232084
52,@alizegel i cant i bought my books last night and now have natta in the bank till i start work :(,-1,0.4308432340621948,roberta-mlm-loss,hard,0,0.6921964074660756
55,ughh...tummy hurts :( on a better note the America's Most Wanted Tour=2morrow then Cedar Point is on Friday <3,-1,0.191368356347084,roberta-mlm-loss,medium,0,0.6891497568048031
60,"@tommcfly please say hello to my, i need this, make me happy today xxxx eu te amo ): 11",-1,0.5375118851661682,roberta-mlm-loss,hard,0,0.6815444406945028
64,@kindasleepy That's shitty :( I'm a chubby butt so I know the feeling but just gotta ignore the surraoundings and concentrate on the goal!,-1,0.013229327276349,roberta-mlm-loss,easy,0,0.6924386488855759
66,I can't get out of bed :(,-1,0.0001243524893652,roberta-mlm-loss,easy,0,0.6927193815705406
69,@antwun .. Yea. Nd my simcards are sumwhr dnt knw whre!! :( too tired il gve it lata,-1,0.2463471889495849,roberta-mlm-loss,hard,0,0.6891863054374467
70,@Havoc1108 @Johnny559 @DrAiRrick Hey fuck Isaiah right?? He shouldn't get an invite... No he doesn't. Pshhh and to think I had friends. :((,-1,0.1119447499513626,roberta-mlm-loss,medium,0,0.6892852055302461
71,RT @Asher_Ashy I HATE WEN YU LIKE SUMBODY N DEY DNT LIKE YU BAQ.. BUT DEN MONTHS L8R DEY SEE YU N WANT YU.. BUT YU DNT WANT DEM.. LIKE WTFF.,-1,0.4660007953643799,roberta-mlm-loss,hard,0,0.6887283400218112
73,@blueturnsred http://twitpic.com/79m06 - awww. i'm so sorry baby :(,-1,0.252165824174881,roberta-mlm-loss,hard,0,0.6853041672314044
75,I also have a headache @KateCooperOwen and have also just been sick at work :(,-1,0.0012501714518293,roberta-mlm-loss,easy,0,0.690186396702513
76,Technology hates me. Third time this week i gotta take my laptop to the techs >:(,-1,0.1587204784154892,roberta-mlm-loss,medium,0,0.6930173911130497
82,"@deepNdistant I didn't see ANYTHING, and I was out at midnight and again at 4...:(",-1,0.123015820980072,roberta-mlm-loss,medium,0,0.6903130166115685
83,@LittleLiverbird the tooth any better ...nothing worse :-(...,-1,0.1844552159309387,roberta-mlm-loss,medium,0,0.6769172964109637
89,"Soaking wet, out of breath and my butt's a little sore :(",-1,0.001357939094305,roberta-mlm-loss,easy,0,0.6913168965436653
91,around missing my baby :(,-1,2.192089319229126,roberta-mlm-loss,hard,0,0.6919275822234447
92,"need my sunshine with me, here :(",-1,0.0154265528544783,roberta-mlm-loss,easy,0,0.6931379758921445
