index,text,score,difficulty_score,difficulty_strategy,difficulty,fold,entropy,dataset,algorithm,dificulty
0,I want togo home :(,-1,0.2603725492954254,roberta-mlm-loss,hard,0,0.6892933388949267,aisopos_ntua_2L,bio-is,
1,i can feel that my dark eye rings are getting darker and darker now. i mean processing right now! argh :(,-1,0.4860814809799194,roberta-mlm-loss,hard,0,0.6806342918615155,aisopos_ntua_2L,bio-is,
2,@JasonM314 WOW! Nice one on the not smoking!!! I am too addicted to quit! :-(,-1,0.3136752545833587,roberta-mlm-loss,hard,0,0.6802746078044213,aisopos_ntua_2L,bio-is,
3,sitting next cute little toddlers on the subway always puts me in a good mood...but now I miss my niece and nephews :(,-1,0.1251522451639175,roberta-mlm-loss,medium,0,0.6918517983812222,aisopos_ntua_2L,bio-is,
4,Solved the multitasking and battery dilemma of iPhones by putting a SIM in my 3G and using it in parallel with my 3GS(syncs via MobileMe):-P,1,0.0081198262050747,roberta-mlm-loss,easy,0,0.6878311871178319,aisopos_ntua_2L,bio-is,
5,Haha! That's funy!!!! :) RT @melsie75: @jordanknight YAY! I feel like I just experienced the second coming of Jesus!!!!!,1,0.0187793001532554,roberta-mlm-loss,easy,0,0.6730505318664259,aisopos_ntua_2L,bio-is,
6,Photo: (via fuckyeahhappy) awwwww :ÕDDD http://tumblr.com/xue2tnt0q,1,0.1841307580471038,roberta-mlm-loss,medium,0,0.679976256732733,aisopos_ntua_2L,bio-is,
7,"I think my scalp is sunburned :( Interesting, considering I haven't been outside today. Fucking bull if you ask me....OWWWIEEE",-1,0.1188801825046539,roberta-mlm-loss,medium,0,0.6913250325105205,aisopos_ntua_2L,bio-is,
8,http://twitpic.com/c2j19 - The Blender at Gramercy on a sad sad day :(,-1,0.083867110311985,roberta-mlm-loss,medium,0,0.6883400517515039,aisopos_ntua_2L,bio-is,
9,"Not @ school :(, cause I'm sick -- for rillz. :| I can't believe it either",-1,0.0257138218730688,roberta-mlm-loss,medium,0,0.6901460928210499,aisopos_ntua_2L,bio-is,
10,@MattchewCorpuz because I always mess this up :(,-1,0.2819190621376037,roberta-mlm-loss,hard,0,0.6838502042217615,aisopos_ntua_2L,bio-is,
11,HAPPY TIME // Tim Buckley ft Danny Thompson on bass: http://bit.ly/16wa8 - DT shed a tear showing me this the other day :(,-1,0.2576485276222229,roberta-mlm-loss,hard,0,0.6920508054626666,aisopos_ntua_2L,bio-is,
12,Shit. Forget to restore dorry's food when i go out. :( so guilty now! :(,-1,0.5749542117118835,roberta-mlm-loss,hard,0,0.691155467910632,aisopos_ntua_2L,bio-is,
13,"Just dropped Alicia off at the airport-- what to do with myself until Sunday? Oh ya, homework..... :(",-1,0.0136928437277674,roberta-mlm-loss,easy,0,0.6865173301257572,aisopos_ntua_2L,bio-is,
14,@kuuipo1207 are their pigments good??? i dont have any occ stuff yet :(,-1,0.754766047000885,roberta-mlm-loss,hard,0,0.6659461416757553,aisopos_ntua_2L,bio-is,
15,"Whee, just uselessly biked back and forth between Voorhout, turns out I don't have to work until 12:30. Could have slept in... :(",-1,0.1001188457012176,roberta-mlm-loss,medium,0,0.6919316813639473,aisopos_ntua_2L,bio-is,
16,and i never see you on my online friends :(,-1,0.0029870835132896,roberta-mlm-loss,easy,0,0.628128548299683,aisopos_ntua_2L,bio-is,
18,RT LOVE IT!!.LeeConti #bb10 I expect there to be a massive reduction in new born babies named Beatrice for a number of years to come..,1,0.3747215270996094,roberta-mlm-loss,hard,0,0.6909834656759919,aisopos_ntua_2L,bio-is,
19,Terrible sports weekend.... VT and Eagles lose. Unbelievable :(,-1,0.0062956153415143,roberta-mlm-loss,easy,0,0.6918689457489036,aisopos_ntua_2L,bio-is,
21,I hate being sick its gay. :(,-1,0.1371072679758072,roberta-mlm-loss,medium,0,0.6898366864198172,aisopos_ntua_2L,bio-is,
22,@vickiheyworth you're right. Maybe the perfect costume is in the closet. I wanted a wig though. :(,-1,0.0030969309154897,roberta-mlm-loss,easy,0,0.6796743551353269,aisopos_ntua_2L,bio-is,
26,@tamster1328 Hi. I'm Lisa. I can't listen to the cell cast. :(,-1,0.340000182390213,roberta-mlm-loss,hard,0,0.690957616105598,aisopos_ntua_2L,bio-is,
29,Its depressing to watch my bank account get smaller and never bigger:( I need to get a job soon!,-1,0.9048011302947998,roberta-mlm-loss,hard,0,0.6904197753633353,aisopos_ntua_2L,bio-is,
30,"don't cry honey, i miss you too :(",-1,0.0005016083596274,roberta-mlm-loss,easy,0,0.6913637679679846,aisopos_ntua_2L,bio-is,
31,"airport tomorrow morning, can't wait, i get to see my japanese host student, i miss her! :(",-1,0.0362987741827964,roberta-mlm-loss,medium,0,0.6820967211490943,aisopos_ntua_2L,bio-is,
32,My boyfriend officially banned me from taking space trips :(,-1,0.0061516086570918,roberta-mlm-loss,easy,0,0.693130839094461,aisopos_ntua_2L,bio-is,
33,"@EmmaLBishop Usually by this point I'm feeling slightly more human, but I feel the same, I just wanna stop shaking :(",-1,0.030909052118659,roberta-mlm-loss,medium,0,0.6926178336350709,aisopos_ntua_2L,bio-is,
34,what do i have to do? .......... :(,-1,0.7869851589202881,roberta-mlm-loss,hard,0,0.6931416024330631,aisopos_ntua_2L,bio-is,
35,I'm at the Cinemar *all by myselfffffff*. I miss you :( x,-1,0.5338576436042786,roberta-mlm-loss,hard,0,0.6727244037260278,aisopos_ntua_2L,bio-is,
36,Wow! Got transferred to a specialist and found out I got a wisdom tooth :( wtf! Fml,-1,0.1215746030211448,roberta-mlm-loss,medium,0,0.6930258719305853,aisopos_ntua_2L,bio-is,
37,(860): Oh my god. Oh my god. Oh my god. I drunk emailed a professor on friday. Oh my god. Oh my god.,-1,0.6335523128509521,roberta-mlm-loss,hard,0,0.6929149673555591,aisopos_ntua_2L,bio-is,
38,I think my tummy is talking.. ):,-1,0.9864437580108644,roberta-mlm-loss,hard,0,0.688586606960096,aisopos_ntua_2L,bio-is,
40,@oritsuru I can't play the PS2 ones on my PS3 'cause i only got it in February :(,-1,0.0188557300716638,roberta-mlm-loss,easy,0,0.6910334374217896,aisopos_ntua_2L,bio-is,
41,I think i have a sleeping disorder :(,-1,0.0027465454768389,roberta-mlm-loss,easy,0,0.6900403416504002,aisopos_ntua_2L,bio-is,
44,"Dis walkin shit is gay. I think i found the guy whose bike seat got switched with mine, left him a note. My chest hurts :(",-1,0.0301332045346498,roberta-mlm-loss,medium,0,0.692339171605993,aisopos_ntua_2L,bio-is,
45,"says HAPPY FRIDAY!! I want to drown my motorcycle problems with yarn, however, I spent too much on parts. :(... http://plurk.com/p/1d0o64",-1,0.0170397814363241,roberta-mlm-loss,easy,0,0.6825861218653397,aisopos_ntua_2L,bio-is,
46,My Grandma passed away today. :( R.I.P. Lorraine Humbracht you were a great woman and fantastic Grandma.,-1,0.1269220858812332,roberta-mlm-loss,medium,0,0.6736892902211742,aisopos_ntua_2L,bio-is,
47,@Rdangelz I DIDN'T! :(,-1,0.0041270670481026,roberta-mlm-loss,easy,0,0.6921993194932845,aisopos_ntua_2L,bio-is,
48,@essteeyou Can't really. Will tough it out but cancelled on Chloe. Can't bear the thought of sniffling and feeling shitty through a film :(,-1,0.153781846165657,roberta-mlm-loss,medium,0,0.6693461176586926,aisopos_ntua_2L,bio-is,
49,@chariberri i know. watch its gonna turn out to be nothin. :( it better be somethin...,-1,0.680713951587677,roberta-mlm-loss,hard,0,0.6745820588552,aisopos_ntua_2L,bio-is,
51,"@ririardana i'd love to! but my budget is not enough, i'm using ma own money! :(",-1,0.133939117193222,roberta-mlm-loss,medium,0,0.6924093398972608,aisopos_ntua_2L,bio-is,
52,@alizegel i cant i bought my books last night and now have natta in the bank till i start work :(,-1,0.4308432340621948,roberta-mlm-loss,hard,0,0.6931341611596169,aisopos_ntua_2L,bio-is,
58,@heycassadee http://twitpic.com/cptac - omg i had that bracelet but in pink! it kinda died :(,-1,0.0514178127050399,roberta-mlm-loss,medium,0,0.6924398675710384,aisopos_ntua_2L,bio-is,
59,"The street signs look like they're going to get ripped off, that's how strong the wind is :(",-1,0.0005536242388188,roberta-mlm-loss,easy,0,0.6753007034123972,aisopos_ntua_2L,bio-is,
60,"@tommcfly please say hello to my, i need this, make me happy today xxxx eu te amo ): 11",-1,0.5375118851661682,roberta-mlm-loss,hard,0,0.6927238633719479,aisopos_ntua_2L,bio-is,
62,:( leg hurts and i need a new chair to sit in for rock band,-1,1.0837870836257937,roberta-mlm-loss,hard,0,0.6855085252793292,aisopos_ntua_2L,bio-is,
64,@kindasleepy That's shitty :( I'm a chubby butt so I know the feeling but just gotta ignore the surraoundings and concentrate on the goal!,-1,0.013229327276349,roberta-mlm-loss,easy,0,0.6892962313814466,aisopos_ntua_2L,bio-is,
65,"I thought grammar should matter whenever/however you communicate? I know, there are so many now who don't use it. :( @ButtercupD",-1,0.0764953196048736,roberta-mlm-loss,medium,0,0.6887358892997932,aisopos_ntua_2L,bio-is,
67,"""we work hard and sleep less... we are underpaid... we lack holidays...we dont have social life & real homes... ""... In pusuit of a PhD _ :(",-1,1.0158096551895142,roberta-mlm-loss,hard,0,0.6853151526394793,aisopos_ntua_2L,bio-is,
68,Grr. She dropped her phone on my head :(,-1,0.0002426395076327,roberta-mlm-loss,easy,0,0.6901874821572466,aisopos_ntua_2L,bio-is,
69,@antwun .. Yea. Nd my simcards are sumwhr dnt knw whre!! :( too tired il gve it lata,-1,0.2463471889495849,roberta-mlm-loss,hard,0,0.6930180772683927,aisopos_ntua_2L,bio-is,
70,@Havoc1108 @Johnny559 @DrAiRrick Hey fuck Isaiah right?? He shouldn't get an invite... No he doesn't. Pshhh and to think I had friends. :((,-1,0.1119447499513626,roberta-mlm-loss,medium,0,0.6906865123233994,aisopos_ntua_2L,bio-is,
73,@blueturnsred http://twitpic.com/79m06 - awww. i'm so sorry baby :(,-1,0.252165824174881,roberta-mlm-loss,hard,0,0.6630292851284127,aisopos_ntua_2L,bio-is,
74,Just woke up a bit ago. My mouth is still very sore. Waiting to get a call back from the dentist's office. :(,-1,0.0003882741148117,roberta-mlm-loss,easy,0,0.6903114084545444,aisopos_ntua_2L,bio-is,
78,"Yup, so The Orphan, is wak as fuck, just found out. :(",-1,0.1899091452360153,roberta-mlm-loss,medium,0,0.6819896262230831,aisopos_ntua_2L,bio-is,
81,I am not feeling the love at all :-(,-1,0.0016959998756647,roberta-mlm-loss,easy,0,0.6913149653555687,aisopos_ntua_2L,bio-is,
82,"@deepNdistant I didn't see ANYTHING, and I was out at midnight and again at 4...:(",-1,0.123015820980072,roberta-mlm-loss,medium,0,0.6105483868015158,aisopos_ntua_2L,bio-is,
83,@LittleLiverbird the tooth any better ...nothing worse :-(...,-1,0.1844552159309387,roberta-mlm-loss,medium,0,0.6919254080698263,aisopos_ntua_2L,bio-is,
84,@musicgirl988 what's happen to your blog? i'm helpless :(,-1,0.0036689941771328,roberta-mlm-loss,easy,0,0.6931374795596047,aisopos_ntua_2L,bio-is,
86,@MyPrivateMuse Yuppp :(,-1,0.2071200162172317,roberta-mlm-loss,hard,0,0.6884723996784268,aisopos_ntua_2L,bio-is,
87,& 4:03 A.M. is not a good time to be crying :( I should be asleep,-1,0.0173745602369308,roberta-mlm-loss,easy,0,0.6911365866618342,aisopos_ntua_2L,bio-is,
88,is walking home in the friggin rain . so wet & cold :(,-1,0.0192827079445123,roberta-mlm-loss,easy,0,0.6728652405095865,aisopos_ntua_2L,bio-is,
91,around missing my baby :(,-1,2.192089319229126,roberta-mlm-loss,hard,0,0.6931424535887747,aisopos_ntua_2L,bio-is,
92,"need my sunshine with me, here :(",-1,0.0154265528544783,roberta-mlm-loss,easy,0,0.6728958740354415,aisopos_ntua_2L,bio-is,
93,Really wish I was in DC right now:(,-1,0.7432719469070435,roberta-mlm-loss,hard,0,0.6917755868369908,aisopos_ntua_2L,bio-is,
94,going to take a shower; then fix some pizza . i miss my baby :( . texttt or call if you need me .,-1,0.6619399785995483,roberta-mlm-loss,hard,0,0.6809972297232016,aisopos_ntua_2L,bio-is,
95,Let me go home...please...:(,-1,0.0154081899672746,roberta-mlm-loss,easy,0,0.6747121088048169,aisopos_ntua_2L,bio-is,
96,"it could be the soundtrack to T and R's lives, too bad someday will never come for them :(",-1,0.163693219423294,roberta-mlm-loss,medium,0,0.6905147527639992,aisopos_ntua_2L,bio-is,
97,Just found out I have family affected by the typhoon in the Philippines. :( Thx to @HappySlip for this! http://bit.ly/vN9NI,-1,0.014395554549992,roberta-mlm-loss,easy,0,0.6899453001525865,aisopos_ntua_2L,bio-is,
98,just realized I left my coffee in my car. have to run out and get it on break :(,-1,0.0081596653908491,roberta-mlm-loss,easy,0,0.6913330365969024,aisopos_ntua_2L,bio-is,
99,@janemcmurry unfortunately he doesn't :( i might clone and sell him. you'd like his LOST halloween costume too--daniel faraday.,-1,0.2362548261880874,roberta-mlm-loss,hard,0,0.6929246337088532,aisopos_ntua_2L,bio-is,
100,@florateyu ))):flora i'm dying!!!,-1,1.0330315828323364,roberta-mlm-loss,hard,0,0.6815660820697322,aisopos_ntua_2L,bio-is,
101,"First time cycling to work on consecutive days - heavy legs :-(. Also, yoghurt and raspberries do not = enough to cycle on",-1,0.2155839651823043,roberta-mlm-loss,hard,0,0.6677312480590558,aisopos_ntua_2L,bio-is,
102,RT @AtlanticGolf Post a comment on our fan page http://twurl.nl/f0a8yh and you're entered to win a $100 Atlantic Golf gift card!,1,0.2595200836658478,roberta-mlm-loss,hard,0,0.6829034524483628,aisopos_ntua_2L,bio-is,
103,Hate being I'll at weekends...all my plans are out the window for soup and a sofa :-(,-1,0.0699484199285507,roberta-mlm-loss,medium,0,0.6871434143666124,aisopos_ntua_2L,bio-is,
104,"It would be AWESOME if the wedding I'm in could be like this (sadly, it really won't): http://bit.ly/29W0C0",-1,0.0003649113059509,roberta-mlm-loss,easy,0,0.6906953086172309,aisopos_ntua_2L,bio-is,
