index,text,score,difficulty_score,difficulty_strategy,dificulty,fold,entropy
0,"The Rock is destined to be the 21st Century's new ''Conan'' and that he's going to make a splash even greater than Arnold Schwarzenegger, Jean Claud Van Damme or Steven Segal.",1,0.4012162387371063,roberta-mlm-loss,hard,0,0.6881028717059526
1,The gorgeously elaborate continuation of ''The Lord of the Rings'' trilogy is so huge that a column of words cannot adequately describe co writer/director Peter Jackson's expanded vision of J.R.R. Tolkien's Middle earth.,1,0.2394487112760543,roberta-mlm-loss,hard,0,0.6864808408973568
2,Effective but too tepid biopic,-1,0.0004486735560931,roberta-mlm-loss,easy,0,0.5359385589457062
3,"If you sometimes like to go to the movies to have fun, Wasabi is a good place to start.",1,0.0020420255605131,roberta-mlm-loss,medium,0,0.6122661785531249
4,"Emerges as something rare, an issue movie that's so honest and keenly observed that it doesn't feel like one.",1,0.3356748521327972,roberta-mlm-loss,hard,0,0.6787077562301376
6,Offers that rare combination of entertainment and education.,1,0.0013049818808212,roberta-mlm-loss,easy,0,0.3934305204731853
7,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions.,1,0.0137002486735582,roberta-mlm-loss,medium,0,0.6572479246973919
8,Steers turns in a snappy screenplay that curls at the edges; it's so clever you want to hate it. But he somehow pulls it off.,1,0.0003684289695229,roberta-mlm-loss,easy,0,0.6819475697129498
9,Take Care of My Cat offers a refreshingly different slice of Asian cinema.,1,0.0003697205102071,roberta-mlm-loss,easy,0,0.47801944344935743
10,"This is a film well worth seeing, talking and singing heads and all.",1,0.0132897393777966,roberta-mlm-loss,medium,0,0.6877972103580268
13,"One of the greatest family oriented, fantasy adventure movies ever.",1,0.0004133284091949,roberta-mlm-loss,easy,0,0.681470032578888
14,"Ultimately, it ponders the reasons we need stories so much.",1,0.0018075212137773,roberta-mlm-loss,medium,0,0.6798419203567214
15,An utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question.,1,0.0011994309024885,roberta-mlm-loss,easy,0,0.5658313514578196
16,Illuminating if overly talky documentary.,1,0.0022701427806168,roberta-mlm-loss,medium,0,0.6897349427458029
17,A masterpiece four years in the making.,1,0.0010460650082677,roberta-mlm-loss,easy,0,0.6262734593968837
18,"The movie's ripe, enrapturing beauty will tempt those willing to probe its inscrutable mysteries.",1,0.001897171838209,roberta-mlm-loss,medium,0,0.6293957864301485
19,Offers a breath of the fresh air of true sophistication.,1,0.000975024420768,roberta-mlm-loss,easy,0,0.5864974159906406
21,"With a cast that includes some of the top actors working in independent film, Lovely &amp; Amazing involves us because it is so incisive, so bleakly amusing about how we go about our lives.",1,0.4554034769535064,roberta-mlm-loss,hard,0,0.6512509740819056
22,A disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by Philip Glass.,1,0.0006415236857719,roberta-mlm-loss,easy,0,0.69303707944887
23,"Not for everyone, but for those with whom it will connect, it's a nice departure from standard moviegoing fare.",1,0.0005755976308137,roberta-mlm-loss,easy,0,0.6084210971297908
24,Scores a few points for doing what it does with a dedicated and good hearted professionalism.,1,0.0137644130736589,roberta-mlm-loss,medium,0,0.6667815351874307
25,"Occasionally melodramatic, it's also extremely effective.",1,0.0008188139181584,roberta-mlm-loss,easy,0,0.6894807285472893
26,An idealistic love story that brings out the latent 15 year old romantic in everyone.,1,0.0008637790451757,roberta-mlm-loss,easy,0,0.6650915754382796
27,"At about 95 minutes, Treasure Planet maintains a brisk pace as it races through the familiar story. However, it lacks grandeur and that epic quality often associated with Stevenson's tale as well as with earlier Disney efforts.",-1,0.0030652603600174,roberta-mlm-loss,medium,0,0.5574857148922701
28,It helps that Lil Bow Wow ... tones down his pint sized gangsta act to play someone who resembles a real kid.,1,0.0708857551217079,roberta-mlm-loss,hard,0,0.6923913262023427
29,"Guaranteed to move anyone who ever shook, rattled, or rolled.",1,0.032356210052967,roberta-mlm-loss,hard,0,0.655844079641345
30,"A masterful film from a master filmmaker, unique in its deceptive grimness, compelling in its fatalist worldview.",1,0.0010975742479786,roberta-mlm-loss,easy,0,0.6905816744672865
31,"Light, cute and forgettable.",1,0.0008526475285179,roberta-mlm-loss,easy,0,0.6437724874608923
32,"If there's a way to effectively teach kids about the dangers of drugs, I think it's in projects like the (unfortunately R rated) Paid.",1,0.4672999083995819,roberta-mlm-loss,hard,0,0.6170158964888002
33,"While it would be easy to give Crush the new title of Two Weddings and a Funeral, it's a far more thoughtful film than any slice of Hugh Grant whimsy.",1,0.2785215973854065,roberta-mlm-loss,hard,0,0.6569227485230338
34,"Though everything might be literate and smart, it never took off and always seemed static.",-1,0.0026631238870322,roberta-mlm-loss,medium,0,0.6803054642365993
35,"Cantet perfectly captures the hotel lobbies, two lane highways, and roadside cafes that permeate Vincent's days",1,0.0197524894028902,roberta-mlm-loss,hard,0,0.6815802509806955
36,"Ms. Fulford Wierzbicki is almost spooky in her sulky, calculating Lolita turn.",1,0.0055121849291026,roberta-mlm-loss,medium,0,0.6831234812214808
37,"Though it is by no means his best work, Laissez Passer is a distinguished and distinctive effort by a bona fide master, a fascinating film replete with rewards to be had by all willing to make the effort to reap them.",1,0.0060962047427892,roberta-mlm-loss,medium,0,0.6564065081376692
39,"Newton draws our attention like a magnet, and acts circles around her better known co star, Mark Wahlberg.",1,0.0318348631262779,roberta-mlm-loss,hard,0,0.5670740722339866
40,"The story loses its bite in a last minute happy ending that's even less plausible than the rest of the picture. Much of the way, though, this is a refreshingly novel ride.",1,0.0047640395350754,roberta-mlm-loss,medium,0,0.4492906281084035
41,Fuller would surely have called this gutsy and at times exhilarating movie a great yarn.,1,0.0022689406760036,roberta-mlm-loss,medium,0,0.5662906047778674
42,The film makes a strong case for the importance of the musicians in creating the Motown sound.,1,0.0003428266209084,roberta-mlm-loss,easy,0,0.6907300571171839
43,"Karmen moves like rhythm itself, her lips chanting to the beat, her long, braided hair doing little to wipe away the jeweled beads of sweat.",1,0.0058746701106429,roberta-mlm-loss,medium,0,0.6769083667969448
44,Gosling provides an amazing performance that dwarfs everything else in the film.,1,0.0010699497070163,roberta-mlm-loss,easy,0,0.6276273550894789
45,"A real movie, about real people, that gives us a rare glimpse into a culture most of us don't know.",1,0.0001584275159984,roberta-mlm-loss,easy,0,0.6897716489686401
46,Tender yet lacerating and darkly funny fable.,1,0.0007274067029356,roberta-mlm-loss,easy,0,0.5181655559387061
47,May be spoofing an easy target    those old '50's giant creature features    but ... it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today.,1,0.011211079545319,roberta-mlm-loss,medium,0,0.6891779860379617
48,An engaging overview of Johnson's eccentric career.,1,0.0025368849746882,roberta-mlm-loss,medium,0,0.6394551431823998
49,"In its ragged, cheap and unassuming way, the movie works.",1,0.000219118053792,roberta-mlm-loss,easy,0,0.6916218040223312
50,Some actors have so much charisma that you'd be happy to listen to them reading the phone book. Hugh Grant and Sandra Bullock are two such likeable actors.,1,0.0021829353645443,roberta-mlm-loss,medium,0,0.683006859313717
51,"Sandra Nettelbeck beautifully orchestrates the transformation of the chilly, neurotic, and self absorbed Martha as her heart begins to open.",1,0.0357603654265403,roberta-mlm-loss,hard,0,0.5615242589421487
52,"Behind the snow games and lovable Siberian huskies (plus one sheep dog), the picture hosts a parka wrapped dose of heart.",1,0.3328886330127716,roberta-mlm-loss,hard,0,0.6843344977139835
53,"Everytime you think Undercover Brother has run out of steam, it finds a new way to surprise and amuse.",1,0.0010237026726827,roberta-mlm-loss,easy,0,0.6883521706436158
54,"Manages to be original, even though it rips off many of its ideas.",1,0.0012853774242103,roberta-mlm-loss,easy,0,0.675579274911703
55,"Singer/composer Bryan Adams contributes a slew of songs    a few potential hits, a few more simply intrusive to the story    but the whole package certainly captures the intended, er, spirit of the piece.",1,0.2970095574855804,roberta-mlm-loss,hard,0,0.6913426241090184
56,You'd think by now America would have had enough of plucky British eccentrics with hearts of gold. Yet the act is still charming here.,1,0.0036538217682391,roberta-mlm-loss,medium,0,0.6827884894382649
